Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,29.94,30.18,29.43,29.59,5320100,0.0,0,04,2010,1
2010-01-05,29.51,29.73,28.89,29.07,7933900,0.0,0,05,2010,1
2010-01-06,28.97,29.42,28.65,28.86,5193900,0.0,0,06,2010,1
2010-01-07,28.77,29.02,28.55,28.8,5373000,0.0,0,07,2010,1
2010-01-08,28.67,29.07,28.37,29.03,4718400,0.0,0,08,2010,1
2010-01-11,29.03,29.21,28.33,28.51,5526800,0.0,0,11,2010,1
2010-01-12,28.39,28.58,27.74,28.09,7329600,0.0,0,12,2010,1
2010-01-13,28.31,29.31,28.3,29.19,6933200,0.0,0,13,2010,1
2010-01-14,29.11,29.64,29.08,29.12,5474000,0.0,0,14,2010,1
2010-01-15,29.32,29.43,28.55,28.69,5337800,0.0,0,15,2010,1
2010-01-19,28.7,29.29,28.7,28.82,5129400,0.0,0,19,2010,1
2010-01-20,28.62,28.62,27.52,28.13,5545900,0.0,0,20,2010,1
2010-01-21,28.03,28.6,27.37,27.51,9320500,0.0,0,21,2010,1
2010-01-22,27.3,27.79,26.62,26.64,9246500,0.0,0,22,2010,1
2010-01-25,26.84,27.19,26.47,26.77,5594800,0.0,0,25,2010,1
2010-01-26,26.65,27.3,26.42,26.75,5227400,0.0,0,26,2010,1
2010-01-27,26.55,27.01,26.23,26.77,5722600,0.0,0,27,2010,1
2010-01-28,26.48,26.76,25.52,25.81,9192700,0.0,0,28,2010,1
2010-01-29,25.93,26.21,25.03,25.21,8728400,0.0,0,29,2010,1
2010-02-01,25.19,26.1,25.19,26.06,5670000,0.0,0,01,2010,2
2010-02-02,26.09,26.94,25.97,26.8,8363000,0.0,0,02,2010,2
2010-02-03,26.69,26.97,26.54,26.85,5400500,0.0,0,03,2010,2
2010-02-04,26.61,26.79,25.83,25.87,8937500,0.0,0,04,2010,2
2010-02-05,26.03,26.37,25.51,26.29,9856400,0.0,0,05,2010,2
2010-02-08,26.4,26.89,26.14,26.42,5738000,0.0,0,08,2010,2
2010-02-09,26.75,26.99,26.32,26.84,6610900,0.0,0,09,2010,2
2010-02-10,26.74,26.92,26.42,26.62,4356600,0.0,0,10,2010,2
2010-02-11,26.61,27.38,26.4,27.3,5711200,0.0,0,11,2010,2
2010-02-12,26.9,27.36,26.65,27.23,4397400,0.0,0,12,2010,2
2010-02-16,27.62,27.97,27.47,27.96,7300700,0.0,0,16,2010,2
2010-02-17,27.96,27.96,27.44,27.77,11614800,0.0,0,17,2010,2
2010-02-18,27.33,27.44,26.19,27.42,19885800,0.0,0,18,2010,2
2010-02-19,27.24,27.58,26.83,27.08,10254200,0.0,0,19,2010,2
2010-02-22,27.27,27.27,26.43,26.52,6244100,0.0,0,22,2010,2
2010-02-23,26.32,26.44,25.64,25.88,7964600,0.0,0,23,2010,2
2010-02-24,26.02,26.27,25.59,25.82,9370800,0.0,0,24,2010,2
2010-02-25,25.4,26.1,25.27,25.97,7590900,0.0,0,25,2010,2
2010-02-26,25.96,26.22,25.79,25.97,6076300,0.0,0,26,2010,2
2010-03-01,26.2,27.28,26.07,27.23,9051400,0.0,0,01,2010,3
2010-03-02,27.29,27.43,26.65,26.91,7709200,0.0,0,02,2010,3
2010-03-03,27.06,27.7,26.82,27.04,7451900,0.0,0,03,2010,3
2010-03-04,27.12,27.19,26.86,27.14,5098000,0.0,0,04,2010,3
2010-03-05,27.24,27.9,27.24,27.74,6557700,0.0,0,05,2010,3
2010-03-08,28.02,28.47,27.99,28.14,5319400,0.0,0,08,2010,3
2010-03-09,27.88,28.44,27.88,28.17,4808300,0.0,0,09,2010,3
2010-03-10,28.06,28.83,28.06,28.72,7204400,0.0,0,10,2010,3
2010-03-11,28.69,28.86,28.46,28.84,5345100,0.0,0,11,2010,3
2010-03-12,29.02,29.16,28.35,28.48,4583900,0.0,0,12,2010,3
2010-03-15,28.8,28.82,28.17,28.41,3756000,0.0,0,15,2010,3
2010-03-16,28.55,28.76,28.26,28.73,4010400,0.0,0,16,2010,3
2010-03-17,28.35,28.91,28.35,28.6,5094900,0.0,0,17,2010,3
2010-03-18,28.54,28.88,28.41,28.82,3209700,0.0,0,18,2010,3
2010-03-19,28.86,29.06,27.83,28.09,8786600,0.0,0,19,2010,3
2010-03-22,27.87,28.71,27.87,28.51,3625200,0.0,0,22,2010,3
2010-03-23,28.53,28.54,28.07,28.34,5347700,0.0,0,23,2010,3
2010-03-24,28.2,28.8,28.09,28.71,4908300,0.0,0,24,2010,3
2010-03-25,28.99,29.0,28.22,28.23,6013700,0.0,0,25,2010,3
2010-03-26,28.61,28.66,28.11,28.33,5679800,0.0,0,26,2010,3
2010-03-29,28.51,28.73,28.06,28.16,3203800,0.0,0,29,2010,3
2010-03-30,28.14,28.32,27.74,28.19,3747100,0.0,0,30,2010,3
2010-03-31,27.91,28.42,27.91,28.16,3523500,0.0,0,31,2010,3
2010-04-01,28.77,30.01,28.75,29.65,12611400,0.0,0,01,2010,4
2010-04-05,29.71,30.21,29.59,30.09,5016200,0.0,0,05,2010,4
2010-04-06,29.93,30.19,29.7,30.15,4068500,0.0,0,06,2010,4
2010-04-07,30.05,30.8,29.99,30.4,8154800,0.0,0,07,2010,4
2010-04-08,30.23,30.29,29.51,30.15,5252600,0.0,0,08,2010,4
2010-04-09,30.21,30.75,30.18,30.75,6107500,0.0,0,09,2010,4
2010-04-12,30.42,30.75,30.04,30.24,5231100,0.0,0,12,2010,4
2010-04-13,30.03,30.32,29.9,30.02,3983300,0.0,0,13,2010,4
2010-04-14,30.28,31.13,30.19,31.04,5129700,0.0,0,14,2010,4
2010-04-15,30.96,31.16,30.84,30.87,4956800,0.0,0,15,2010,4
2010-04-16,30.84,31.24,30.3,30.42,7605300,0.0,0,16,2010,4
2010-04-19,30.26,30.63,29.6,30.11,4666600,0.0,0,19,2010,4
2010-04-20,30.12,30.15,29.72,30.01,5718500,0.0,0,20,2010,4
2010-04-21,30.03,30.56,29.87,30.46,5389100,0.0,0,21,2010,4
2010-04-22,29.87,30.73,29.83,30.6,3592500,0.0,0,22,2010,4
2010-04-23,30.48,31.4,30.42,31.31,5342300,0.0,0,23,2010,4
2010-04-26,31.34,31.58,30.98,31.06,3894500,0.0,0,26,2010,4
2010-04-27,30.81,31.07,29.94,30.16,5337900,0.0,0,27,2010,4
2010-04-28,30.46,30.78,30.14,30.75,5745100,0.0,0,28,2010,4
2010-04-29,30.77,31.37,30.54,31.02,6314100,0.0,0,29,2010,4
2010-04-30,31.16,31.16,29.98,30.01,4173900,0.0,0,30,2010,4
2010-05-03,30.08,30.41,30.03,30.19,4605600,0.0,0,03,2010,5
2010-05-04,29.76,29.85,28.78,29.44,5445300,0.0,0,04,2010,5
2010-05-05,29.31,29.59,28.97,29.49,4770800,0.0,0,05,2010,5
2010-05-06,29.34,29.69,26.42,28.57,7345400,0.0,0,06,2010,5
2010-05-07,28.35,28.52,26.7,27.24,11932600,0.0,0,07,2010,5
2010-05-10,28.51,29.43,28.33,29.37,9181400,0.0,0,10,2010,5
2010-05-11,29.12,29.5,28.83,28.96,5858600,0.0,0,11,2010,5
2010-05-12,28.95,29.51,28.69,29.47,4380200,0.0,0,12,2010,5
2010-05-13,28.99,29.73,28.99,29.17,3302000,0.0,0,13,2010,5
2010-05-14,28.58,29.38,28.15,29.21,8527300,0.0,0,14,2010,5
2010-05-17,29.29,29.64,28.8,29.39,6192400,0.0,0,17,2010,5
2010-05-18,29.7,29.94,28.82,29.03,4543400,0.0,0,18,2010,5
2010-05-19,28.85,29.44,28.67,29.04,4495700,0.0,0,19,2010,5
