Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,3.45,3.45,3.42,3.45,24700,0.0,0,04,2010,1
2010-01-05,3.46,3.48,3.43,3.45,16000,0.0,0,05,2010,1
2010-01-06,3.47,3.48,3.43,3.46,19000,0.0,0,06,2010,1
2010-01-07,3.45,3.48,3.45,3.47,27600,0.0,0,07,2010,1
2010-01-08,3.47,3.48,3.45,3.47,43200,0.0,0,08,2010,1
2010-01-11,3.47,3.5,3.47,3.49,18000,0.0,0,11,2010,1
2010-01-12,3.5,3.55,3.5,3.52,45200,0.0,0,12,2010,1
2010-01-13,3.53,3.53,3.48,3.5,11900,0.0,0,13,2010,1
2010-01-14,3.48,3.52,3.48,3.5,19000,0.0,0,14,2010,1
2010-01-15,3.51,3.51,3.47,3.5,20900,0.0,0,15,2010,1
2010-01-19,3.52,3.53,3.47,3.52,40500,0.0,0,19,2010,1
2010-01-20,3.51,3.51,3.5,3.5,14500,0.035,0,20,2010,1
2010-01-21,3.53,3.53,3.47,3.49,29000,0.0,0,21,2010,1
2010-01-22,3.5,3.5,3.48,3.49,13500,0.0,0,22,2010,1
2010-01-25,3.52,3.53,3.49,3.49,32000,0.0,0,25,2010,1
2010-01-26,3.48,3.49,3.45,3.49,34200,0.0,0,26,2010,1
2010-01-27,3.5,3.5,3.46,3.49,29800,0.0,0,27,2010,1
2010-01-28,3.47,3.53,3.47,3.51,34200,0.0,0,28,2010,1
2010-01-29,3.53,3.53,3.5,3.5,73400,0.0,0,29,2010,1
2010-02-01,3.53,3.54,3.51,3.54,11900,0.0,0,01,2010,2
2010-02-02,3.55,3.56,3.51,3.53,27200,0.0,0,02,2010,2
2010-02-03,3.54,3.54,3.51,3.53,28700,0.0,0,03,2010,2
2010-02-04,3.54,3.54,3.51,3.51,6800,0.0,0,04,2010,2
2010-02-05,3.54,3.55,3.5,3.53,30500,0.0,0,05,2010,2
2010-02-08,3.55,3.55,3.51,3.52,17500,0.0,0,08,2010,2
2010-02-09,3.52,3.52,3.51,3.51,25300,0.0,0,09,2010,2
2010-02-10,3.54,3.54,3.51,3.52,39200,0.0,0,10,2010,2
2010-02-11,3.52,3.53,3.52,3.52,27600,0.0,0,11,2010,2
2010-02-12,3.53,3.54,3.51,3.53,65400,0.0,0,12,2010,2
2010-02-16,3.6,3.6,3.54,3.54,40500,0.0,0,16,2010,2
2010-02-17,3.55,3.57,3.53,3.57,44500,0.035,0,17,2010,2
2010-02-18,3.56,3.56,3.53,3.55,44900,0.0,0,18,2010,2
2010-02-19,3.54,3.56,3.53,3.53,44700,0.0,0,19,2010,2
2010-02-22,3.53,3.53,3.49,3.53,36200,0.0,0,22,2010,2
2010-02-23,3.52,3.54,3.51,3.53,37000,0.0,0,23,2010,2
2010-02-24,3.51,3.53,3.51,3.52,43800,0.0,0,24,2010,2
2010-02-25,3.52,3.52,3.51,3.52,34100,0.0,0,25,2010,2
2010-02-26,3.52,3.52,3.51,3.51,18400,0.0,0,26,2010,2
2010-03-01,3.52,3.53,3.51,3.53,71100,0.0,0,01,2010,3
2010-03-02,3.55,3.55,3.52,3.52,36400,0.0,0,02,2010,3
2010-03-03,3.52,3.53,3.52,3.53,40800,0.0,0,03,2010,3
2010-03-04,3.53,3.55,3.52,3.55,26400,0.0,0,04,2010,3
2010-03-05,3.55,3.55,3.52,3.55,14500,0.0,0,05,2010,3
2010-03-08,3.55,3.55,3.53,3.55,18700,0.0,0,08,2010,3
2010-03-09,3.56,3.56,3.55,3.56,33700,0.0,0,09,2010,3
2010-03-10,3.57,3.58,3.55,3.58,37200,0.0,0,10,2010,3
2010-03-11,3.57,3.58,3.54,3.57,29900,0.0,0,11,2010,3
2010-03-12,3.55,3.57,3.55,3.55,40700,0.0,0,12,2010,3
2010-03-15,3.56,3.57,3.55,3.55,74200,0.0,0,15,2010,3
2010-03-16,3.55,3.55,3.49,3.54,112500,0.0,0,16,2010,3
2010-03-17,3.56,3.58,3.54,3.57,119800,0.035,0,17,2010,3
