Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,16.91,17.08,16.79,16.98,639400,0.0,0.0,04,2010,1
2010-01-05,16.98,17.25,16.73,16.98,791000,0.0,0.0,05,2010,1
2010-01-06,16.98,17.77,16.97,17.53,1277200,0.0,0.0,06,2010,1
2010-01-07,17.52,17.65,17.18,17.29,693200,0.0,0.0,07,2010,1
2010-01-08,17.27,17.38,17.21,17.35,1115600,0.0,0.0,08,2010,1
2010-01-11,17.37,17.37,17.17,17.35,498800,0.0,0.0,11,2010,1
2010-01-12,17.22,17.35,17.02,17.21,602000,0.0,0.0,12,2010,1
2010-01-13,17.2,17.54,17.12,17.48,716800,0.0,0.0,13,2010,1
2010-01-14,17.38,17.48,17.17,17.36,631800,0.0,0.0,14,2010,1
2010-01-15,17.3,17.4,16.74,17.15,882800,0.0,0.0,15,2010,1
2010-01-19,17.22,17.51,17.03,17.3,524400,0.0,0.0,19,2010,1
2010-01-20,17.18,17.21,16.89,17.17,561400,0.0,0.0,20,2010,1
2010-01-21,17.25,17.55,16.84,16.97,633200,0.0,0.0,21,2010,1
2010-01-22,16.95,17.03,16.2,16.34,634800,0.0,0.0,22,2010,1
2010-01-25,16.36,16.57,16.21,16.42,515200,0.0,0.0,25,2010,1
2010-01-26,16.38,16.58,16.26,16.37,626400,0.0,0.0,26,2010,1
2010-01-27,16.31,16.67,16.14,16.62,776600,0.0,0.0,27,2010,1
2010-01-28,17.02,17.86,17.02,17.69,1745800,0.4,0.0,28,2010,1
2010-01-29,17.86,18.02,17.21,17.29,1139800,0.0,0.0,29,2010,1
2010-02-01,17.33,17.74,17.23,17.46,613400,0.0,0.0,01,2010,2
2010-02-02,17.43,17.77,17.33,17.52,563200,0.0,0.0,02,2010,2
2010-02-03,17.47,17.7,17.39,17.62,565800,0.0,0.0,03,2010,2
2010-02-04,17.46,17.52,17.12,17.15,608600,0.0,0.0,04,2010,2
2010-02-05,17.22,17.23,16.76,17.11,959000,0.0,0.0,05,2010,2
2010-02-08,17.04,17.2,16.77,16.8,551200,0.0,0.0,08,2010,2
2010-02-09,17.01,17.12,16.77,17.01,537200,0.0,0.0,09,2010,2
2010-02-10,16.98,16.99,16.58,16.79,574200,0.0,0.0,10,2010,2
2010-02-11,16.77,17.09,16.53,17.04,354400,0.0,0.0,11,2010,2
2010-02-12,16.87,17.2,16.82,17.13,454000,0.0,0.0,12,2010,2
2010-02-16,17.21,17.39,16.93,17.37,252000,0.0,0.0,16,2010,2
2010-02-17,17.52,17.56,17.3,17.39,322200,0.0,0.0,17,2010,2
2010-02-18,17.31,17.49,17.15,17.47,389000,0.0,0.0,18,2010,2
2010-02-19,17.47,17.66,17.3,17.53,578200,0.0,0.0,19,2010,2
2010-02-22,17.6,17.6,17.41,17.47,444200,0.0,0.0,22,2010,2
2010-02-23,17.48,17.64,17.34,17.47,663000,0.0,0.0,23,2010,2
2010-02-24,17.49,17.84,17.43,17.77,459200,0.0,0.0,24,2010,2
2010-02-25,17.53,18.0,17.45,17.94,584400,0.0,0.0,25,2010,2
2010-02-26,18.02,18.02,17.66,17.89,773600,0.0,0.0,26,2010,2
2010-03-01,18.02,18.42,17.87,18.34,667800,0.0,0.0,01,2010,3
2010-03-02,18.42,18.69,18.42,18.59,668000,0.0,0.0,02,2010,3
2010-03-03,18.71,18.76,18.51,18.64,475600,0.0,0.0,03,2010,3
2010-03-04,18.67,18.85,18.63,18.83,536400,0.0,0.0,04,2010,3
2010-03-05,18.96,19.55,18.88,19.51,633000,0.0,0.0,05,2010,3
2010-03-08,19.45,19.75,18.72,19.66,1124000,0.0,0.0,08,2010,3
2010-03-09,19.56,20.43,19.56,20.11,1213600,0.0,0.0,09,2010,3
