Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2017-06-29,20.05,20.21,19.9,20.09,1207448,0.0,0,29,2017,6
2017-06-30,20.1,20.17,20.02,20.09,764583,0.0,0,30,2017,6
2017-07-03,20.17,20.21,20.09,20.11,90740,0.0,0,03,2017,7
2017-07-05,20.13,20.21,20.02,20.13,169393,0.0,0,05,2017,7
2017-07-06,20.12,20.17,20.09,20.12,740100,0.0,0,06,2017,7
2017-07-07,20.12,20.23,20.11,20.22,276081,0.0,0,07,2017,7
2017-07-10,20.24,20.24,20.18,20.21,184483,0.0,0,10,2017,7
2017-07-11,20.21,20.21,20.18,20.19,68088,0.0,0,11,2017,7
2017-07-12,20.21,20.23,20.19,20.21,153289,0.0,0,12,2017,7
2017-07-13,20.21,20.23,20.2,20.2,69444,0.0,0,13,2017,7
2017-07-14,20.21,20.24,20.2,20.21,99056,0.0,0,14,2017,7
2017-07-17,20.23,20.23,20.19,20.2,104153,0.0,0,17,2017,7
2017-07-18,20.23,20.24,20.2,20.23,66744,0.0,0,18,2017,7
2017-07-19,20.23,20.27,20.21,20.25,207502,0.0,0,19,2017,7
2017-07-20,20.27,20.33,20.26,20.29,121282,0.0,0,20,2017,7
2017-07-21,20.28,20.29,20.24,20.25,58366,0.0,0,21,2017,7
2017-07-24,20.31,20.32,20.24,20.32,83779,0.0,0,24,2017,7
2017-07-25,20.32,20.33,20.24,20.27,201436,0.0,0,25,2017,7
2017-07-26,20.28,20.33,20.26,20.31,114053,0.0,0,26,2017,7
2017-07-27,20.27,20.3,20.25,20.3,110601,0.0,0,27,2017,7
2017-07-28,20.31,20.31,20.23,20.25,234902,0.0,0,28,2017,7
2017-07-31,20.27,20.27,20.23,20.25,149339,0.0,0,31,2017,7
2017-08-01,20.25,20.27,20.22,20.23,89621,0.0,0,01,2017,8
2017-08-02,20.23,20.26,20.21,20.21,87516,0.0,0,02,2017,8
2017-08-03,20.23,20.27,20.19,20.25,70531,0.0,0,03,2017,8
2017-08-04,20.27,20.27,20.15,20.19,158313,0.0,0,04,2017,8
2017-08-07,20.21,20.27,20.21,20.26,136136,0.0,0,07,2017,8
2017-08-08,20.23,20.29,20.23,20.26,90917,0.0,0,08,2017,8
2017-08-09,20.24,20.3,20.24,20.25,137018,0.0,0,09,2017,8
2017-08-10,20.27,20.27,20.06,20.13,62271,0.0,0,10,2017,8
2017-08-11,20.19,20.28,20.15,20.17,37839,0.0,0,11,2017,8
2017-08-14,20.17,20.27,20.15,20.22,38312,0.0,0,14,2017,8
2017-08-15,20.24,20.27,20.08,20.13,124654,0.0,0,15,2017,8
2017-08-16,20.11,20.24,20.1,20.24,85701,0.0,0,16,2017,8
2017-08-17,20.23,20.23,20.17,20.17,24130,0.0,0,17,2017,8
2017-08-18,20.17,20.2,20.17,20.17,25505,0.0,0,18,2017,8
2017-08-21,20.17,20.25,20.17,20.2,23409,0.0,0,21,2017,8
2017-08-22,20.23,20.29,20.22,20.24,34640,0.0,0,22,2017,8
2017-08-23,20.26,20.27,20.24,20.27,25459,0.0,0,23,2017,8
2017-08-24,20.27,20.29,20.25,20.28,22435,0.0,0,24,2017,8
2017-08-25,20.29,20.31,20.24,20.29,38770,0.0,0,25,2017,8
2017-08-28,20.31,20.34,20.27,20.29,130854,0.0,0,28,2017,8
