Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,15.31,15.84,14.79,15.73,252300,0,0,04,2010,1
2010-01-05,15.73,16.13,15.52,16.08,103300,0,0,05,2010,1
2010-01-06,16.1,16.25,15.75,16.08,90800,0,0,06,2010,1
2010-01-07,16.15,16.36,15.89,16.35,75500,0,0,07,2010,1
2010-01-08,16.35,16.39,15.97,16.14,78200,0,0,08,2010,1
2010-01-11,16.04,16.2,15.82,16.16,77300,0,0,11,2010,1
2010-01-12,16.08,16.08,15.74,15.93,95100,0,0,12,2010,1
2010-01-13,15.96,16.27,15.7,16.05,99500,0,0,13,2010,1
2010-01-14,16.03,16.83,16.03,16.38,55000,0,0,14,2010,1
2010-01-15,15.41,15.45,14.72,15.02,208900,0,0,15,2010,1
2010-01-19,14.98,15.3,14.83,14.85,183200,0,0,19,2010,1
2010-01-20,14.75,14.8,13.8,14.4,278500,0,0,20,2010,1
2010-01-21,14.33,14.33,12.7,13.3,375700,0,0,21,2010,1
2010-01-22,13.22,13.96,13.07,13.64,120700,0,0,22,2010,1
2010-01-25,13.65,13.94,13.25,13.75,127600,0,0,25,2010,1
2010-01-26,13.69,13.8,13.22,13.43,92000,0,0,26,2010,1
2010-01-27,13.31,13.63,13.26,13.47,41500,0,0,27,2010,1
2010-01-28,13.49,13.49,12.64,12.83,65500,0,0,28,2010,1
2010-01-29,12.9,13.33,12.82,12.84,84900,0,0,29,2010,1
2010-02-01,12.9,13.09,12.45,12.59,75300,0,0,01,2010,2
2010-02-02,12.57,12.66,12.28,12.51,96200,0,0,02,2010,2
2010-02-03,12.5,12.94,12.42,12.51,81100,0,0,03,2010,2
2010-02-04,12.37,12.53,11.78,12.0,83300,0,0,04,2010,2
2010-02-05,11.98,12.06,11.47,11.9,59900,0,0,05,2010,2
2010-02-08,11.92,11.93,11.6,11.6,41600,0,0,08,2010,2
2010-02-09,11.81,11.81,11.51,11.65,60200,0,0,09,2010,2
2010-02-10,11.7,11.76,11.55,11.7,28900,0,0,10,2010,2
2010-02-11,11.6,11.85,11.28,11.83,50200,0,0,11,2010,2
2010-02-12,11.71,12.58,11.63,12.46,67300,0,0,12,2010,2
2010-02-16,12.61,12.78,12.32,12.39,47500,0,0,16,2010,2
2010-02-17,12.48,12.57,12.39,12.5,32700,0,0,17,2010,2
2010-02-18,12.52,12.56,12.35,12.52,30900,0,0,18,2010,2
2010-02-19,12.51,13.39,12.34,13.17,73500,0,0,19,2010,2
2010-02-22,13.16,13.46,13.16,13.24,77600,0,0,22,2010,2
2010-02-23,13.27,13.64,13.17,13.39,45900,0,0,23,2010,2
2010-02-24,13.4,13.47,13.02,13.11,107600,0,0,24,2010,2
2010-02-25,12.91,12.95,12.25,12.46,55400,0,0,25,2010,2
2010-02-26,12.51,12.72,11.85,12.11,48300,0,0,26,2010,2
2010-03-01,12.13,12.33,11.32,11.75,130400,0,0,01,2010,3
2010-03-02,12.73,13.81,12.53,13.71,283100,0,0,02,2010,3
2010-03-03,13.7,13.82,12.7,13.54,42300,0,0,03,2010,3
2010-03-04,13.54,13.6,13.06,13.57,32000,0,0,04,2010,3
2010-03-05,13.62,13.71,13.36,13.54,37600,0,0,05,2010,3
2010-03-08,13.49,13.64,13.4,13.55,41500,0,0,08,2010,3
2010-03-09,13.5,13.64,13.49,13.56,37700,0,0,09,2010,3
2010-03-10,13.57,14.61,13.57,14.59,99000,0,0,10,2010,3
2010-03-11,14.42,14.47,13.79,14.28,100300,0,0,11,2010,3
2010-03-12,14.36,14.4,14.17,14.18,56200,0,0,12,2010,3
2010-03-15,14.22,14.25,14.01,14.1,85800,0,0,15,2010,3
2010-03-16,14.14,14.23,14.01,14.11,170700,0,0,16,2010,3
2010-03-17,14.19,14.47,14.07,14.17,154300,0,0,17,2010,3
2010-03-18,14.2,14.55,14.1,14.36,62900,0,0,18,2010,3
2010-03-19,14.09,14.46,14.09,14.09,93600,0,0,19,2010,3
2010-03-22,14.08,15.06,14.07,14.79,133700,0,0,22,2010,3
2010-03-23,14.89,15.44,14.61,15.38,103700,0,0,23,2010,3
2010-03-24,15.39,15.7,15.24,15.49,99100,0,0,24,2010,3
2010-03-25,15.7,15.8,15.43,15.71,81500,0,0,25,2010,3
2010-03-26,15.71,15.82,15.38,15.65,67700,0,0,26,2010,3
2010-03-29,15.7,15.83,15.62,15.75,65700,0,0,29,2010,3
2010-03-30,15.81,15.81,15.21,15.45,66400,0,0,30,2010,3
2010-03-31,15.31,15.68,15.08,15.19,60500,0,0,31,2010,3
2010-04-01,15.2,15.53,15.11,15.36,33000,0,0,01,2010,4
2010-04-05,15.35,15.44,15.14,15.41,36600,0,0,05,2010,4
2010-04-06,15.38,15.44,15.07,15.41,29400,0,0,06,2010,4
2010-04-07,15.35,15.57,15.17,15.54,107100,0,0,07,2010,4
2010-04-08,15.45,16.43,15.38,16.0,223000,0,0,08,2010,4
2010-04-09,16.07,16.34,15.68,16.01,156100,0,0,09,2010,4
2010-04-12,16.06,16.2,15.86,16.0,64400,0,0,12,2010,4
2010-04-13,15.86,16.56,15.86,16.42,94000,0,0,13,2010,4
2010-04-14,16.43,17.07,16.3,17.05,55600,0,0,14,2010,4
2010-04-15,17.0,17.2,16.72,17.18,102000,0,0,15,2010,4
2010-04-16,17.16,17.43,17.01,17.15,90500,0,0,16,2010,4
2010-04-19,17.04,17.29,16.58,16.69,51900,0,0,19,2010,4
2010-04-20,16.8,17.01,16.74,16.8,57000,0,0,20,2010,4
2010-04-21,16.82,17.1,16.82,16.99,43900,0,0,21,2010,4
2010-04-22,16.81,17.14,16.73,17.0,80300,0,0,22,2010,4
2010-04-23,17.07,17.23,16.84,17.13,55000,0,0,23,2010,4
2010-04-26,17.18,17.7,17.18,17.44,146600,0,0,26,2010,4
2010-04-27,17.41,18.0,17.41,17.87,111000,0,0,27,2010,4
2010-04-28,18.0,18.0,17.51,17.78,35400,0,0,28,2010,4
2010-04-29,17.79,18.14,17.78,18.06,66100,0,0,29,2010,4
2010-04-30,17.94,18.06,16.61,16.61,67900,0,0,30,2010,4
2010-05-03,16.64,17.34,16.6,17.34,62800,0,0,03,2010,5
2010-05-04,17.1,17.1,16.51,16.74,89900,0,0,04,2010,5
2010-05-05,16.53,16.99,16.3,16.45,42300,0,0,05,2010,5
2010-05-06,16.99,18.0,16.41,17.46,142200,0,0,06,2010,5
2010-05-07,17.28,17.55,16.66,16.68,104700,0,0,07,2010,5
2010-05-10,17.79,17.97,16.56,17.59,100400,0,0,10,2010,5
2010-05-11,17.35,18.01,16.8,17.89,77300,0,0,11,2010,5
2010-05-12,17.98,18.26,17.82,17.9,81000,0,0,12,2010,5
2010-05-13,17.9,18.29,17.74,17.89,62300,0,0,13,2010,5
2010-05-14,17.73,17.84,17.43,17.81,51700,0,0,14,2010,5
2010-05-17,17.88,18.57,17.82,18.13,73200,0,0,17,2010,5
2010-05-18,18.3,18.3,17.91,17.97,70700,0,0,18,2010,5
2010-05-19,17.97,18.39,17.8,17.95,43700,0,0,19,2010,5
2010-05-20,17.66,17.87,17.0,17.35,105100,0,0,20,2010,5
2010-05-21,17.1,17.73,16.85,17.39,67300,0,0,21,2010,5
2010-05-24,17.36,17.36,16.61,16.63,89000,0,0,24,2010,5
2010-05-25,16.23,16.86,16.15,16.34,96500,0,0,25,2010,5
2010-05-26,16.39,16.7,16.08,16.14,99500,0,0,26,2010,5
2010-05-27,16.48,16.8,16.3,16.75,130700,0,0,27,2010,5
2010-05-28,16.76,16.76,16.25,16.39,85000,0,0,28,2010,5
2010-06-01,16.29,16.51,15.66,15.73,97500,0,0,01,2010,6
2010-06-02,15.75,16.5,15.75,16.44,87900,0,0,02,2010,6
2010-06-03,16.42,16.72,16.03,16.53,185200,0,0,03,2010,6
2010-06-04,16.11,16.66,15.59,15.82,105800,0,0,04,2010,6
2010-06-07,15.93,16.02,14.93,15.08,106700,0,0,07,2010,6
2010-06-08,15.35,15.36,14.64,15.01,92200,0,0,08,2010,6
2010-06-09,15.17,15.69,15.02,15.17,68600,0,0,09,2010,6
2010-06-10,15.33,15.5,14.79,15.48,74400,0,0,10,2010,6
2010-06-11,15.33,16.06,15.33,15.93,69400,0,0,11,2010,6
2010-06-14,16.11,16.77,16.1,16.35,84400,0,0,14,2010,6
2010-06-15,16.54,16.68,16.12,16.62,82700,0,0,15,2010,6
2010-06-16,16.46,16.85,16.33,16.66,50300,0,0,16,2010,6
2010-06-17,16.81,16.85,16.34,16.55,47500,0,0,17,2010,6
2010-06-18,16.67,16.9,16.55,16.58,75300,0,0,18,2010,6
2010-06-21,16.79,16.79,15.46,15.73,96200,0,0,21,2010,6
2010-06-22,15.85,16.21,15.4,15.45,62000,0,0,22,2010,6
2010-06-23,15.39,15.89,15.39,15.75,42200,0,0,23,2010,6
2010-06-24,15.61,16.05,15.45,15.65,43200,0,0,24,2010,6
2010-06-25,15.67,15.78,15.35,15.48,617400,0,0,25,2010,6
2010-06-28,15.5,15.5,14.98,15.0,101400,0,0,28,2010,6
2010-06-29,14.74,14.94,13.74,14.26,207900,0,0,29,2010,6
2010-06-30,14.19,15.95,13.86,14.0,137200,0,0,30,2010,6
2010-07-01,14.07,14.08,13.19,13.34,277300,0,0,01,2010,7
2010-07-02,13.47,13.58,13.01,13.14,119300,0,0,02,2010,7
2010-07-06,13.43,13.62,12.57,12.62,118200,0,0,06,2010,7
2010-07-07,12.7,13.12,12.7,13.01,140200,0,0,07,2010,7
2010-07-08,13.15,13.49,12.87,13.0,145700,0,0,08,2010,7
2010-07-09,12.94,13.35,12.94,13.32,104900,0,0,09,2010,7
2010-07-12,13.32,13.94,12.9,12.96,100400,0,0,12,2010,7
2010-07-13,13.19,13.45,12.96,13.44,117900,0,0,13,2010,7
2010-07-14,13.46,13.83,13.38,13.74,75700,0,0,14,2010,7
2010-07-15,13.79,13.93,12.93,13.06,83100,0,0,15,2010,7
2010-07-16,12.98,13.2,12.39,12.4,91800,0,0,16,2010,7
2010-07-19,12.48,12.69,12.1,12.13,115400,0,0,19,2010,7
2010-07-20,12.05,12.84,11.88,12.5,135100,0,0,20,2010,7
2010-07-21,12.62,13.02,12.11,12.15,75900,0,0,21,2010,7
2010-07-22,12.36,13.73,12.29,13.68,124600,0,0,22,2010,7
2010-07-23,13.68,14.18,13.33,14.11,125800,0,0,23,2010,7
2010-07-26,14.22,14.48,13.94,14.27,118500,0,0,26,2010,7
2010-07-27,14.41,14.59,13.77,13.79,117700,0,0,27,2010,7
2010-07-28,13.79,13.96,13.03,13.08,97300,0,0,28,2010,7
2010-07-29,13.23,14.24,13.22,13.94,114100,0,0,29,2010,7
2010-07-30,13.83,14.55,13.43,14.4,114300,0,0,30,2010,7
2010-08-02,14.55,14.81,13.83,14.24,104000,0,0,02,2010,8
2010-08-03,14.14,14.28,13.84,13.87,54700,0,0,03,2010,8
2010-08-04,13.91,14.45,13.79,14.41,75300,0,0,04,2010,8
2010-08-05,14.9,15.55,14.38,14.39,116700,0,0,05,2010,8
2010-08-06,14.17,15.01,14.11,14.89,98100,0,0,06,2010,8
2010-08-09,15.0,15.9,14.62,15.71,100000,0,0,09,2010,8
2010-08-10,15.49,15.6,14.7,15.46,102300,0,0,10,2010,8
2010-08-11,15.13,15.17,14.4,14.45,105100,0,0,11,2010,8
2010-08-12,14.18,14.55,13.97,14.28,80400,0,0,12,2010,8
2010-08-13,14.19,14.38,13.98,14.0,55800,0,0,13,2010,8
2010-08-16,13.94,14.73,13.88,14.67,82800,0,0,16,2010,8
2010-08-17,14.86,15.46,14.73,15.01,75100,0,0,17,2010,8
2010-08-18,14.96,15.4,14.83,15.17,72000,0,0,18,2010,8
2010-08-19,15.05,15.09,14.21,14.22,75100,0,0,19,2010,8
2010-08-20,14.12,14.39,13.75,13.87,60700,0,0,20,2010,8
2010-08-23,13.95,13.95,13.62,13.75,64300,0,0,23,2010,8
2010-08-24,13.53,13.88,13.42,13.66,89600,0,0,24,2010,8
2010-08-25,13.57,14.22,13.57,14.17,69200,0,0,25,2010,8
2010-08-26,14.2,14.44,13.71,13.75,54800,0,0,26,2010,8
2010-08-27,13.93,14.0,13.63,14.0,62000,0,0,27,2010,8
2010-08-30,14.0,14.09,13.16,13.18,69200,0,0,30,2010,8
2010-08-31,13.23,13.82,13.2,13.52,59200,0,0,31,2010,8
2010-09-01,13.78,14.7,13.56,14.68,53700,0,0,01,2010,9
2010-09-02,14.58,14.71,14.17,14.66,39100,0,0,02,2010,9
2010-09-03,14.87,15.12,14.56,15.05,35000,0,0,03,2010,9
2010-09-07,15.04,15.04,14.22,14.42,52200,0,0,07,2010,9
2010-09-08,14.52,14.52,13.76,13.86,21100,0,0,08,2010,9
2010-09-09,14.07,14.07,13.69,13.75,21100,0,0,09,2010,9
2010-09-10,13.83,14.07,13.8,13.85,26800,0,0,10,2010,9
2010-09-13,14.02,14.07,13.75,13.97,50900,0,0,13,2010,9
2010-09-14,13.96,14.62,13.75,14.33,64300,0,0,14,2010,9
2010-09-15,14.17,15.35,13.96,14.92,108800,0,0,15,2010,9
2010-09-16,14.92,14.98,14.42,14.57,22800,0,0,16,2010,9
2010-09-17,14.76,14.98,14.25,14.46,52500,0,0,17,2010,9
2010-09-20,14.53,15.04,14.33,14.97,66400,0,0,20,2010,9
2010-09-21,14.95,14.98,14.38,14.42,34800,0,0,21,2010,9
2010-09-22,15.02,15.62,15.0,15.18,114000,0,0,22,2010,9
2010-09-23,15.05,15.33,15.0,15.09,150000,0,0,23,2010,9
2010-09-24,15.29,15.48,15.0,15.04,156200,0,0,24,2010,9
2010-09-27,15.04,15.11,14.85,14.88,101200,0,0,27,2010,9
2010-09-28,14.96,15.29,14.88,15.26,120400,0,0,28,2010,9
