Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2014-01-31,45.8,47.99,41.85,42.25,4392500,0,0,31,2014,1
2014-02-03,43.95,43.95,38.52,39.0,498200,0,0,03,2014,2
2014-02-04,38.8,40.25,36.18,36.26,352300,0,0,04,2014,2
2014-02-05,38.51,38.51,35.15,36.08,296500,0,0,05,2014,2
2014-02-06,36.84,38.68,35.81,37.24,188500,0,0,06,2014,2
2014-02-07,36.46,38.29,36.46,37.65,62500,0,0,07,2014,2
2014-02-10,37.6,39.92,37.6,38.45,90200,0,0,10,2014,2
2014-02-11,39.83,40.59,38.52,40.13,83500,0,0,11,2014,2
2014-02-12,40.05,46.0,40.05,44.78,291600,0,0,12,2014,2
2014-02-13,44.27,44.95,40.51,43.96,169900,0,0,13,2014,2
2014-02-14,45.11,45.18,42.66,44.0,37900,0,0,14,2014,2
2014-02-18,44.0,44.99,42.77,43.57,45000,0,0,18,2014,2
2014-02-19,43.71,44.89,41.43,43.85,104200,0,0,19,2014,2
2014-02-20,43.64,51.87,43.64,51.35,182000,0,0,20,2014,2
2014-02-21,51.86,62.48,49.62,59.1,227500,0,0,21,2014,2
2014-02-24,58.53,59.81,54.16,58.01,165500,0,0,24,2014,2
2014-02-25,60.0,63.85,58.0,59.0,244400,0,0,25,2014,2
2014-02-26,58.5,60.52,54.15,56.07,93000,0,0,26,2014,2
2014-02-27,56.47,57.65,53.74,54.0,95800,0,0,27,2014,2
2014-02-28,54.0,57.25,53.15,55.76,110000,0,0,28,2014,2
2014-03-03,51.87,59.31,50.06,55.53,131900,0,0,03,2014,3
2014-03-04,56.59,59.99,54.63,58.22,98300,0,0,04,2014,3
2014-03-05,62.34,62.34,58.5,58.75,103800,0,0,05,2014,3
2014-03-06,58.5,59.29,52.25,54.38,163600,0,0,06,2014,3
2014-03-07,54.98,58.96,50.05,56.62,147000,0,0,07,2014,3
2014-03-10,59.06,62.61,55.01,61.97,217900,0,0,10,2014,3
2014-03-11,64.41,64.89,59.5,62.38,231600,0,0,11,2014,3
2014-03-12,61.18,66.5,60.5,66.18,77800,0,0,12,2014,3
2014-03-13,67.18,69.77,56.89,60.48,275900,0,0,13,2014,3
2014-03-14,57.58,61.68,57.58,60.0,84100,0,0,14,2014,3
2014-03-17,60.51,61.24,58.91,60.06,83200,0,0,17,2014,3
2014-03-18,60.0,61.24,59.74,60.44,81000,0,0,18,2014,3
2014-03-19,60.79,64.72,60.12,62.75,104900,0,0,19,2014,3
2014-03-20,62.07,62.85,59.19,60.35,91200,0,0,20,2014,3
2014-03-21,60.58,61.25,55.05,55.05,426100,0,0,21,2014,3
2014-03-24,55.34,57.96,50.05,51.41,241500,0,0,24,2014,3
2014-03-25,51.9,54.2,49.37,50.4,189200,0,0,25,2014,3
2014-03-26,50.5,51.44,49.98,50.69,119000,0,0,26,2014,3
2014-03-27,51.05,53.25,49.09,49.79,112400,0,0,27,2014,3
2014-03-28,50.22,51.24,45.0,45.69,212000,0,0,28,2014,3
2014-03-31,47.0,48.96,44.62,48.89,978500,0,0,31,2014,3
2014-04-01,49.16,51.91,48.16,51.32,160700,0,0,01,2014,4
2014-04-02,51.37,53.36,51.32,53.03,125600,0,0,02,2014,4
2014-04-03,52.83,52.83,48.55,51.74,195700,0,0,03,2014,4
2014-04-04,51.88,52.22,47.01,50.67,122600,0,0,04,2014,4
2014-04-07,50.6,52.2,49.39,51.17,90300,0,0,07,2014,4
2014-04-08,51.0,53.12,49.1,52.8,244800,0,0,08,2014,4
2014-04-09,53.3,60.0,51.37,58.8,168000,0,0,09,2014,4
