Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2019-07-02,13.32,13.7,13.32,13.65,2655000,0,0,02,2019,7
2019-07-03,13.65,13.65,13.55,13.59,311200,0,0,03,2019,7
2019-07-05,13.56,13.65,13.45,13.65,444400,0,0,05,2019,7
2019-07-08,13.59,13.59,13.44,13.45,299200,0,0,08,2019,7
2019-07-09,13.46,13.59,13.4,13.5,268300,0,0,09,2019,7
2019-07-10,13.54,13.54,13.4,13.41,367600,0,0,10,2019,7
2019-07-11,13.46,13.5,13.35,13.4,292900,0,0,11,2019,7
2019-07-12,13.4,13.41,13.35,13.39,225800,0,0,12,2019,7
2019-07-15,13.35,13.37,13.21,13.21,252300,0,0,15,2019,7
2019-07-16,13.25,13.27,13.11,13.18,308400,0,0,16,2019,7
2019-07-17,13.15,13.16,13.05,13.13,218900,0,0,17,2019,7
2019-07-18,13.1,13.15,13.06,13.11,160300,0,0,18,2019,7
2019-07-19,13.15,13.23,13.09,13.1,103100,0,0,19,2019,7
2019-07-22,13.14,13.14,12.96,13.01,204300,0,0,22,2019,7
2019-07-23,13.01,13.1,13.01,13.06,79800,0,0,23,2019,7
2019-07-24,13.06,13.06,13.0,13.02,35900,0,0,24,2019,7
2019-07-25,13.02,13.05,13.0,13.0,47500,0,0,25,2019,7
2019-07-26,13.01,13.02,12.99,13.0,62100,0,0,26,2019,7
2019-07-29,13.03,13.05,13.0,13.02,55500,0,0,29,2019,7
2019-07-30,13.02,13.15,13.0,13.1,89600,0,0,30,2019,7
2019-07-31,13.14,13.25,13.12,13.2,55500,0,0,31,2019,7
2019-08-01,13.21,13.35,13.16,13.23,39600,0,0,01,2019,8
2019-08-02,13.2,13.35,13.06,13.29,47000,0,0,02,2019,8
2019-08-05,13.32,13.32,13.12,13.31,76500,0,0,05,2019,8
2019-08-06,13.3,13.34,13.23,13.34,62600,0,0,06,2019,8
2019-08-07,13.3,13.3,13.14,13.29,49600,0,0,07,2019,8
2019-08-08,13.3,13.3,13.16,13.25,32100,0,0,08,2019,8
2019-08-09,13.3,13.49,13.22,13.41,58800,0,0,09,2019,8
2019-08-12,13.21,13.49,13.21,13.35,60600,0,0,12,2019,8
2019-08-13,13.3,13.45,13.19,13.4,27600,0,0,13,2019,8
2019-08-14,13.4,13.4,13.12,13.25,56100,0,0,14,2019,8
2019-08-15,13.12,13.2,12.97,12.99,78000,0,0,15,2019,8
2019-08-16,13.0,13.4,12.96,13.08,43000,0,0,16,2019,8
2019-08-19,13.21,13.25,13.07,13.23,75200,0,0,19,2019,8
2019-08-20,13.24,13.35,13.13,13.33,96300,0,0,20,2019,8
2019-08-21,13.34,13.34,13.13,13.27,33100,0,0,21,2019,8
2019-08-22,13.28,13.35,13.16,13.35,60500,0,0,22,2019,8
