Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,31.85,32.26,31.53,31.86,640700,0.0,0,04,2010,1
2010-01-05,31.78,31.96,31.01,31.28,805400,0.0,0,05,2010,1
2010-01-06,31.24,31.54,30.81,30.85,762200,0.0,0,06,2010,1
2010-01-07,30.79,30.79,30.21,30.28,821500,0.0,0,07,2010,1
2010-01-08,30.16,31.04,30.11,30.93,885200,0.0,0,08,2010,1
2010-01-11,30.99,31.56,30.99,31.5,1040700,0.0,0,11,2010,1
2010-01-12,31.22,31.47,29.82,29.94,1358800,0.0,0,12,2010,1
2010-01-13,30.16,30.87,29.59,30.84,1247500,0.0,0,13,2010,1
2010-01-14,30.65,31.29,30.59,31.09,748900,0.0,0,14,2010,1
2010-01-15,31.2,31.27,30.12,30.58,613700,0.0,0,15,2010,1
2010-01-19,30.38,30.87,30.38,30.76,499200,0.0,0,19,2010,1
2010-01-20,30.55,30.55,29.61,30.37,593000,0.0,0,20,2010,1
2010-01-21,30.34,30.71,29.49,29.63,681800,0.0,0,21,2010,1
2010-01-22,29.43,29.67,28.54,28.7,823700,0.0,0,22,2010,1
2010-01-25,29.11,29.11,28.33,28.46,526600,0.0,0,25,2010,1
2010-01-26,28.64,28.87,28.25,28.3,484500,0.0,0,26,2010,1
2010-01-27,28.17,28.54,27.75,28.52,755400,0.0,0,27,2010,1
2010-01-28,28.66,28.66,27.67,28.0,665900,0.0,0,28,2010,1
2010-01-29,28.14,28.62,27.7,27.91,821800,0.0,0,29,2010,1
2010-02-01,28.19,28.71,28.05,28.44,1355300,0.0,0,01,2010,2
2010-02-02,28.47,28.71,27.79,28.63,1752800,0.0,0,02,2010,2
2010-02-03,25.99,27.1,25.31,26.41,3191500,0.0,0,03,2010,2
2010-02-04,26.1,26.18,24.9,24.96,2342700,0.0,0,04,2010,2
2010-02-05,24.88,25.55,24.43,25.41,1329500,0.0,0,05,2010,2
2010-02-08,25.32,25.72,24.8,25.05,867600,0.0,0,08,2010,2
2010-02-09,25.56,25.95,25.33,25.61,687900,0.0,0,09,2010,2
2010-02-10,25.57,25.6,24.98,25.46,499100,0.0,0,10,2010,2
2010-02-11,25.56,26.28,25.39,26.1,987700,0.0,0,11,2010,2
2010-02-12,25.72,26.21,25.41,26.18,861700,0.0,0,12,2010,2
2010-02-16,26.49,26.6,26.04,26.6,693300,0.0,0,16,2010,2
2010-02-17,26.77,26.77,26.27,26.56,666600,0.0,0,17,2010,2
2010-02-18,26.45,26.64,26.29,26.6,387100,0.0,0,18,2010,2
2010-02-19,26.47,27.03,26.43,26.91,835700,0.25,0,19,2010,2
2010-02-22,27.01,27.23,26.79,27.12,609700,0.0,0,22,2010,2
2010-02-23,27.06,27.15,26.27,26.59,1233000,0.0,0,23,2010,2
2010-02-24,26.81,26.94,26.39,26.92,752700,0.0,0,24,2010,2
2010-02-25,26.4,26.9,26.14,26.83,908200,0.0,0,25,2010,2
2010-02-26,26.9,27.31,26.66,27.25,694400,0.0,0,26,2010,2
2010-03-01,27.44,27.79,27.19,27.25,628200,0.0,0,01,2010,3
2010-03-02,27.5,27.6,27.04,27.09,663800,0.0,0,02,2010,3
2010-03-03,27.27,27.38,26.98,27.11,841400,0.0,0,03,2010,3
2010-03-04,27.22,27.41,26.93,27.25,519900,0.0,0,04,2010,3
2010-03-05,27.45,27.86,27.45,27.73,638400,0.0,0,05,2010,3
2010-03-08,27.73,28.16,27.65,27.81,343800,0.0,0,08,2010,3
2010-03-09,27.72,28.44,27.69,28.27,694900,0.0,0,09,2010,3
2010-03-10,28.32,28.52,28.0,28.13,779300,0.0,0,10,2010,3
2010-03-11,27.97,28.15,27.43,27.77,796500,0.0,0,11,2010,3
2010-03-12,27.89,28.54,27.79,28.42,834400,0.0,0,12,2010,3
2010-03-15,28.3,28.6,28.13,28.54,537700,0.0,0,15,2010,3
2010-03-16,28.63,29.18,28.53,29.11,726400,0.0,0,16,2010,3
2010-03-17,29.25,30.07,29.15,29.72,1160900,0.0,0,17,2010,3
2010-03-18,29.76,30.1,29.64,29.76,654100,0.0,0,18,2010,3
2010-03-19,29.88,30.42,29.64,29.88,1358400,0.0,0,19,2010,3
2010-03-22,29.69,30.13,29.54,29.94,466500,0.0,0,22,2010,3
2010-03-23,29.96,30.06,29.63,30.03,538300,0.0,0,23,2010,3
2010-03-24,29.87,30.03,29.59,29.76,530800,0.0,0,24,2010,3
2010-03-25,30.05,30.17,29.48,29.55,584600,0.0,0,25,2010,3
2010-03-26,29.64,30.12,29.59,29.78,524700,0.0,0,26,2010,3
2010-03-29,29.93,30.35,29.86,30.01,306600,0.0,0,29,2010,3
2010-03-30,30.1,30.23,29.76,30.13,344400,0.0,0,30,2010,3
2010-03-31,29.94,30.24,29.85,29.93,599300,0.0,0,31,2010,3
2010-04-01,30.13,30.41,29.79,30.27,654400,0.0,0,01,2010,4
2010-04-05,30.47,30.65,30.23,30.6,474200,0.0,0,05,2010,4
2010-04-06,30.47,32.18,30.03,32.1,1305700,0.0,0,06,2010,4
2010-04-07,31.87,32.51,31.86,32.23,915200,0.0,0,07,2010,4
2010-04-08,32.04,32.46,31.82,32.31,494700,0.0,0,08,2010,4
2010-04-09,32.21,32.78,32.17,32.77,498300,0.0,0,09,2010,4
2010-04-12,32.72,33.03,32.68,32.99,517100,0.0,0,12,2010,4
2010-04-13,32.95,33.27,32.94,33.17,600500,0.0,0,13,2010,4
2010-04-14,33.32,33.86,33.21,33.77,450900,0.0,0,14,2010,4
2010-04-15,33.7,34.13,33.69,33.93,589300,0.0,0,15,2010,4
2010-04-16,33.98,34.43,33.12,33.48,761000,0.0,0,16,2010,4
2010-04-19,33.39,33.58,32.6,33.49,772500,0.0,0,19,2010,4
2010-04-20,33.69,33.98,33.28,33.69,726900,0.0,0,20,2010,4
2010-04-21,34.18,35.98,34.17,35.32,1851600,0.0,0,21,2010,4
2010-04-22,35.56,37.13,35.11,36.88,1098900,0.0,0,22,2010,4
2010-04-23,37.01,37.01,36.12,36.57,1216600,0.0,0,23,2010,4
2010-04-26,36.64,37.17,36.51,36.79,715200,0.0,0,26,2010,4
2010-04-27,36.7,36.75,35.9,36.13,846600,0.0,0,27,2010,4
2010-04-28,36.3,36.67,35.22,36.19,1178200,0.0,0,28,2010,4
2010-04-29,36.49,36.76,36.3,36.65,1114200,0.0,0,29,2010,4
2010-04-30,36.71,37.45,35.91,35.93,843300,0.0,0,30,2010,4
2010-05-03,36.14,37.05,36.13,36.92,486700,0.0,0,03,2010,5
2010-05-04,36.44,36.48,35.22,35.47,636900,0.0,0,04,2010,5
2010-05-05,35.26,36.43,35.03,35.74,1277700,0.0,0,05,2010,5
2010-05-06,35.52,36.28,32.5,34.93,1417700,0.0,0,06,2010,5
2010-05-07,34.98,35.27,32.63,32.79,1969900,0.0,0,07,2010,5
2010-05-10,34.5,34.8,34.15,34.61,1513100,0.0,0,10,2010,5
2010-05-11,34.18,36.05,34.13,35.56,1161300,0.0,0,11,2010,5
2010-05-12,35.69,36.83,35.56,36.45,883700,0.0,0,12,2010,5
2010-05-13,36.3,36.62,35.77,35.89,657900,0.0,0,13,2010,5
2010-05-14,35.51,35.59,34.34,34.74,1057400,0.0,0,14,2010,5
2010-05-17,34.84,35.55,34.33,35.19,1073800,0.0,0,17,2010,5
2010-05-18,35.58,36.0,34.88,34.93,1031500,0.0,0,18,2010,5
2010-05-19,34.82,35.24,33.92,34.75,861100,0.0,0,19,2010,5
2010-05-20,33.69,33.91,32.29,32.65,1240900,0.0,0,20,2010,5
2010-05-21,32.15,34.12,32.12,33.78,1803900,0.25,0,21,2010,5
2010-05-24,33.48,34.48,33.32,33.81,993800,0.0,0,24,2010,5
2010-05-25,32.59,33.87,32.1,33.79,1320800,0.0,0,25,2010,5
2010-05-26,34.38,34.97,34.17,34.29,1265600,0.0,0,26,2010,5
2010-05-27,34.9,35.32,34.45,35.32,1383100,0.0,0,27,2010,5
2010-05-28,35.29,35.38,34.49,34.91,930100,0.0,0,28,2010,5
2010-06-01,34.53,34.96,33.74,33.77,900600,0.0,0,01,2010,6
2010-06-02,33.97,34.57,33.71,34.57,716600,0.0,0,02,2010,6
2010-06-03,34.83,35.25,34.24,34.89,851500,0.0,0,03,2010,6
2010-06-04,34.03,34.26,32.17,32.37,1476200,0.0,0,04,2010,6
2010-06-07,32.45,32.5,31.19,31.21,942100,0.0,0,07,2010,6
2010-06-08,31.39,31.7,30.66,31.58,1124700,0.0,0,08,2010,6
2010-06-09,31.85,33.16,31.78,32.08,1108500,0.0,0,09,2010,6
2010-06-10,32.82,33.89,32.82,33.87,1074600,0.0,0,10,2010,6
2010-06-11,33.36,34.15,33.27,34.1,665900,0.0,0,11,2010,6
2010-06-14,34.68,35.11,34.02,34.07,928000,0.0,0,14,2010,6
2010-06-15,34.63,35.31,34.22,35.28,735500,0.0,0,15,2010,6
2010-06-16,35.01,35.1,34.31,34.57,671900,0.0,0,16,2010,6
2010-06-17,34.87,34.97,33.78,34.68,733300,0.0,0,17,2010,6
2010-06-18,34.7,34.94,34.35,34.56,598100,0.0,0,18,2010,6
2010-06-21,35.63,35.63,34.14,34.34,700600,0.0,0,21,2010,6
2010-06-22,34.31,34.62,32.74,32.89,516100,0.0,0,22,2010,6
2010-06-23,32.7,33.38,32.16,33.06,568400,0.0,0,23,2010,6
2010-06-24,32.96,33.28,32.28,32.68,559200,0.0,0,24,2010,6
2010-06-25,32.93,33.13,32.33,33.06,927800,0.0,0,25,2010,6
2010-06-28,33.01,33.27,32.59,32.66,512400,0.0,0,28,2010,6
2010-06-29,32.16,32.19,31.15,31.36,530600,0.0,0,29,2010,6
