Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2018-01-02,23.78,23.82,23.36,23.39,67808,0.0,0,02,2018,1
2018-01-03,23.45,23.67,23.25,23.38,45437,0.0,0,03,2018,1
2018-01-04,23.38,23.52,23.32,23.4,51714,0.0,0,04,2018,1
2018-01-05,23.41,23.69,23.39,23.53,31333,0.0,0,05,2018,1
2018-01-08,23.52,23.68,23.51,23.61,20932,0.0,0,08,2018,1
2018-01-09,23.66,23.66,23.45,23.63,23631,0.0,0,09,2018,1
2018-01-10,23.56,23.61,23.42,23.58,35078,0.0,0,10,2018,1
2018-01-11,23.55,23.61,23.52,23.56,37425,0.0,0,11,2018,1
2018-01-12,23.61,23.7,23.5,23.6,43923,0.0,0,12,2018,1
2018-01-16,23.66,23.66,23.5,23.59,48096,0.0,0,16,2018,1
2018-01-17,23.48,23.56,23.41,23.48,26111,0.0,0,17,2018,1
2018-01-18,23.47,23.47,23.29,23.44,42699,0.0,0,18,2018,1
2018-01-19,23.28,23.55,23.26,23.36,117897,0.0,0,19,2018,1
2018-01-22,23.27,23.43,23.27,23.35,73301,0.0,0,22,2018,1
2018-01-23,23.42,23.42,23.28,23.31,26261,0.0,0,23,2018,1
2018-01-24,23.38,23.4,23.28,23.35,55326,0.0,0,24,2018,1
2018-01-25,23.26,23.43,23.26,23.41,35321,0.0,0,25,2018,1
2018-01-26,23.45,23.49,23.35,23.35,111633,0.0,0,26,2018,1
2018-01-29,23.19,23.26,23.09,23.17,128309,0.0,0,29,2018,1
2018-01-30,23.04,23.08,22.94,22.97,115844,0.0,0,30,2018,1
2018-01-31,23.05,23.15,23.05,23.15,61628,0.0,0,31,2018,1
2018-02-01,22.95,23.2,22.95,23.05,55041,0.0,0,01,2018,2
2018-02-02,22.88,22.97,22.49,22.68,81022,0.0,0,02,2018,2
2018-02-05,22.49,22.75,22.49,22.61,126458,0.0,0,05,2018,2
2018-02-06,22.54,22.81,22.52,22.81,62413,0.0,0,06,2018,2
2018-02-07,22.7,22.94,22.7,22.89,58744,0.0,0,07,2018,2
2018-02-08,22.96,22.96,22.64,22.65,58512,0.0,0,08,2018,2
2018-02-09,22.65,22.86,22.54,22.85,85322,0.0,0,09,2018,2
2018-02-12,22.87,22.94,22.7,22.94,39946,0.0,0,12,2018,2
2018-02-13,23.01,23.02,22.91,22.91,53069,0.37200000000000005,0,13,2018,2
2018-02-14,22.91,22.98,22.84,22.85,44248,0.0,0,14,2018,2
2018-02-15,22.93,22.94,22.75,22.79,82013,0.0,0,15,2018,2
2018-02-16,22.79,22.9,22.78,22.9,41066,0.0,0,16,2018,2
