Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,11.99,12.05,11.87,11.94,187000,0.0,0,04,2010,1
2010-01-05,11.9,12.0,11.56,11.59,464200,0.0,0,05,2010,1
2010-01-06,11.63,11.67,11.43,11.46,728500,0.0,0,06,2010,1
2010-01-07,11.45,11.72,11.4,11.62,417900,0.0,0,07,2010,1
2010-01-08,11.65,11.75,11.53,11.64,208200,0.0,0,08,2010,1
2010-01-11,11.65,11.83,11.64,11.77,194000,0.0,0,11,2010,1
2010-01-12,11.78,11.78,11.45,11.59,449000,0.0,0,12,2010,1
2010-01-13,11.66,11.72,11.54,11.7,392900,0.07,0,13,2010,1
2010-01-14,11.74,11.78,11.6,11.65,286200,0.0,0,14,2010,1
2010-01-15,11.6,11.68,11.41,11.42,219100,0.0,0,15,2010,1
2010-01-19,11.52,11.54,11.45,11.48,346700,0.0,0,19,2010,1
2010-01-20,11.31,11.4,11.25,11.34,271900,0.0,0,20,2010,1
2010-01-21,11.32,11.42,11.22,11.23,234300,0.0,0,21,2010,1
2010-01-22,11.1,11.23,11.07,11.08,259600,0.0,0,22,2010,1
2010-01-25,11.14,11.21,11.0,11.14,281100,0.0,0,25,2010,1
2010-01-26,11.08,11.08,10.91,10.95,193300,0.0,0,26,2010,1
2010-01-27,10.92,10.92,10.81,10.9,151100,0.0,0,27,2010,1
2010-01-28,11.02,11.09,10.81,10.84,258900,0.0,0,28,2010,1
2010-01-29,10.85,10.9,10.71,10.8,174700,0.0,0,29,2010,1
2010-02-01,10.82,10.95,10.74,10.92,118500,0.0,0,01,2010,2
2010-02-02,10.92,11.13,10.87,11.1,152800,0.0,0,02,2010,2
2010-02-03,11.11,11.11,10.86,10.87,181800,0.0,0,03,2010,2
2010-02-04,10.81,10.83,10.48,10.48,206900,0.0,0,04,2010,2
2010-02-05,10.44,10.7,10.38,10.67,318300,0.0,0,05,2010,2
2010-02-08,10.72,10.72,10.54,10.56,132600,0.0,0,08,2010,2
2010-02-09,10.67,10.89,10.66,10.83,197700,0.0,0,09,2010,2
2010-02-10,10.79,10.88,10.62,10.87,154300,0.07,0,10,2010,2
2010-02-11,10.88,11.02,10.8,10.95,119500,0.0,0,11,2010,2
2010-02-12,10.94,10.94,10.6,10.67,260600,0.0,0,12,2010,2
