Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2015-01-02,18.71,18.74,18.65,18.66,12256,0.0,0,02,2015,1
2015-01-05,18.74,18.79,18.61,18.79,85451,0.0,0,05,2015,1
2015-01-06,18.72,18.86,18.72,18.85,4817,0.0,0,06,2015,1
2015-01-07,18.72,18.72,18.6,18.7,28690,0.0,0,07,2015,1
2015-01-08,18.74,18.74,18.73,18.73,2802,0.0,0,08,2015,1
2015-01-09,18.63,18.74,18.63,18.73,1660,0.0,0,09,2015,1
2015-01-12,18.72,18.72,18.67,18.68,12042,0.0,0,12,2015,1
2015-01-13,18.64,18.76,18.61,18.65,36873,0.0,0,13,2015,1
2015-01-14,18.63,18.64,18.44,18.47,7903,0.0,0,14,2015,1
2015-01-15,18.63,18.63,18.39,18.43,17193,0.0,0,15,2015,1
2015-01-16,18.47,18.72,18.47,18.72,20600,0.0,0,16,2015,1
2015-01-20,18.62,18.71,18.6,18.67,24974,0.0,0,20,2015,1
2015-01-21,18.66,18.79,18.55,18.68,8071,0.0,0,21,2015,1
2015-01-22,18.52,18.76,18.43,18.76,3922,0.0,0,22,2015,1
2015-01-23,18.79,19.08,18.79,18.96,5694,0.0,0,23,2015,1
2015-01-26,18.95,19.08,18.95,19.02,7696,0.0,0,26,2015,1
2015-01-27,19.12,19.19,19.06,19.06,10892,0.0,0,27,2015,1
2015-01-28,19.26,19.26,19.18,19.2,2524,0.0,0,28,2015,1
2015-01-29,19.06,19.17,18.92,19.12,7960,0.0,0,29,2015,1
2015-01-30,19.22,19.22,19.02,19.13,3300,0.0,0,30,2015,1
2015-02-02,19.06,19.25,19.05,19.21,14261,0.0,0,02,2015,2
2015-02-03,19.12,19.26,19.09,19.22,7837,0.0,0,03,2015,2
2015-02-04,19.23,19.23,19.12,19.19,65523,0.0,0,04,2015,2
2015-02-05,19.16,19.16,18.84,19.11,14067,0.0,0,05,2015,2
2015-02-06,19.09,19.11,19.08,19.09,11084,0.0,0,06,2015,2
2015-02-09,19.05,19.11,19.0,19.1,6182,0.0,0,09,2015,2
2015-02-10,19.05,19.12,19.02,19.11,5859,0.0,0,10,2015,2
2015-02-11,19.05,19.16,19.05,19.13,10109,0.0,0,11,2015,2
2015-02-12,19.16,19.19,19.14,19.19,4315,0.0,0,12,2015,2
2015-02-13,19.14,19.27,19.11,19.14,126544,0.0,0,13,2015,2
2015-02-17,19.06,19.14,18.92,19.0,6688,0.0,0,17,2015,2
2015-02-18,18.95,18.95,18.65,18.86,4860,0.0,0,18,2015,2
2015-02-19,18.87,18.9,18.86,18.86,4645,0.0,0,19,2015,2
2015-02-20,18.87,19.11,18.87,19.1,7099,0.0,0,20,2015,2
2015-02-23,18.86,19.22,18.84,19.0,5166,0.0,0,23,2015,2
2015-02-24,19.01,19.16,19.01,19.04,6464,0.0,0,24,2015,2
2015-02-25,19.22,19.22,19.04,19.04,4630,0.0,0,25,2015,2
2015-02-26,18.94,19.26,18.94,19.26,5115,0.0,0,26,2015,2
2015-02-27,19.03,19.22,19.0,19.21,8043,0.0,0,27,2015,2
2015-03-02,19.11,19.29,19.11,19.26,5196,0.0,0,02,2015,3
2015-03-03,19.23,19.23,19.13,19.23,8177,0.0,0,03,2015,3
2015-03-04,19.27,19.3,19.24,19.3,9000,0.0,0,04,2015,3
2015-03-05,19.4,19.41,19.27,19.4,45519,0.0,0,05,2015,3
2015-03-06,19.43,19.43,19.16,19.18,35289,0.0,0,06,2015,3
2015-03-09,19.12,19.21,19.12,19.17,325487,0.0,0,09,2015,3
2015-03-10,19.19,19.27,19.09,19.27,9440,0.0,0,10,2015,3
2015-03-11,19.14,19.3,19.14,19.3,68839,0.0,0,11,2015,3
2015-03-12,19.02,19.35,19.02,19.19,70496,0.0,0,12,2015,3
2015-03-13,19.05,19.05,18.92,19.05,5278,0.0,0,13,2015,3
2015-03-16,19.01,19.01,18.85,18.86,14100,0.0,0,16,2015,3
2015-03-17,18.84,18.89,18.83,18.84,2157,0.0,0,17,2015,3
2015-03-18,18.92,19.29,18.84,19.2,8154,0.0,0,18,2015,3
2015-03-19,18.94,19.27,18.94,19.03,4692,0.0,0,19,2015,3
2015-03-20,19.25,19.3,19.21,19.23,7247,0.0,0,20,2015,3
2015-03-23,19.23,19.3,19.19,19.3,44152,0.0,0,23,2015,3
2015-03-24,19.28,19.3,19.25,19.3,12441,0.0,0,24,2015,3
2015-03-25,19.33,19.45,19.33,19.42,14002,0.0,0,25,2015,3
2015-03-26,19.45,19.46,19.09,19.33,9270,0.0,0,26,2015,3
2015-03-27,19.4,19.42,19.27,19.27,17047,0.40625,0,27,2015,3
2015-03-30,19.26,19.47,19.17,19.43,11641,0.0,0,30,2015,3
2015-03-31,19.42,19.49,19.37,19.42,11162,0.0,0,31,2015,3
2015-04-01,19.46,19.49,19.32,19.35,4147,0.0,0,01,2015,4
2015-04-02,19.44,19.44,19.24,19.27,5740,0.0,0,02,2015,4
2015-04-06,19.23,19.31,19.21,19.29,21315,0.0,0,06,2015,4
2015-04-07,19.29,19.29,19.16,19.17,4525,0.0,0,07,2015,4
2015-04-08,19.18,19.19,19.11,19.16,8029,0.0,0,08,2015,4
2015-04-09,19.21,19.31,19.17,19.17,27459,0.0,0,09,2015,4
2015-04-10,19.29,19.29,19.12,19.25,20760,0.0,0,10,2015,4
2015-04-13,19.34,19.34,19.21,19.29,20318,0.0,0,13,2015,4
2015-04-14,19.15,19.31,19.15,19.23,41505,0.0,0,14,2015,4
2015-04-15,19.36,19.36,19.23,19.29,22318,0.0,0,15,2015,4
2015-04-16,19.19,19.38,19.19,19.27,50442,0.0,0,16,2015,4
2015-04-17,19.27,19.37,19.23,19.23,146457,0.0,0,17,2015,4
2015-04-20,19.23,19.35,19.23,19.23,19085,0.0,0,20,2015,4
2015-04-21,19.25,19.29,19.25,19.27,1639,0.0,0,21,2015,4
2015-04-22,19.31,19.38,19.28,19.36,5009,0.0,0,22,2015,4
2015-04-23,19.25,19.42,19.25,19.37,26114,0.0,0,23,2015,4
2015-04-24,19.27,19.42,19.27,19.38,28125,0.0,0,24,2015,4
2015-04-27,19.51,19.53,19.44,19.53,2954,0.0,0,27,2015,4
2015-04-28,19.52,19.59,19.46,19.49,445547,0.0,0,28,2015,4
2015-04-29,19.49,19.54,19.46,19.49,108819,0.0,0,29,2015,4
2015-04-30,19.49,19.52,19.35,19.36,2310,0.0,0,30,2015,4
2015-05-01,19.34,19.48,19.29,19.36,5656,0.0,0,01,2015,5
2015-05-04,19.49,19.49,19.32,19.36,22973,0.0,0,04,2015,5
2015-05-05,19.3,19.3,18.89,18.99,11116,0.0,0,05,2015,5
2015-05-06,18.87,18.91,18.75,18.79,19272,0.0,0,06,2015,5
2015-05-07,18.85,18.94,18.79,18.79,18516,0.0,0,07,2015,5
2015-05-08,18.94,19.15,18.94,19.1,2815,0.0,0,08,2015,5
2015-05-11,19.12,19.12,18.86,18.97,29403,0.0,0,11,2015,5
2015-05-12,18.92,18.99,18.86,18.97,2177,0.0,0,12,2015,5
2015-05-13,19.05,19.38,18.98,19.22,26111,0.0,0,13,2015,5
2015-05-14,19.2,19.32,19.16,19.25,5848,0.0,0,14,2015,5
2015-05-15,19.09,19.23,19.03,19.05,7385,0.0,0,15,2015,5
2015-05-18,18.96,18.97,18.9,18.97,6117,0.0,0,18,2015,5
2015-05-19,19.1,19.11,18.95,18.98,2222,0.0,0,19,2015,5
2015-05-20,18.94,18.95,18.89,18.95,7662,0.0,0,20,2015,5
2015-05-21,18.94,18.97,18.85,18.86,20726,0.0,0,21,2015,5
2015-05-22,18.9,18.9,18.84,18.84,1635,0.0,0,22,2015,5
2015-05-26,18.82,18.99,18.82,18.97,16684,0.0,0,26,2015,5
2015-05-27,19.01,19.16,18.99,19.16,20337,0.0,0,27,2015,5
2015-05-28,19.17,19.2,19.11,19.2,2141,0.0,0,28,2015,5
2015-05-29,19.23,19.29,19.14,19.14,15719,0.0,0,29,2015,5
2015-06-01,19.23,19.27,19.23,19.26,4990,0.0,0,01,2015,6
2015-06-02,19.15,19.18,19.04,19.18,20813,0.0,0,02,2015,6
2015-06-03,19.1,19.2,19.03,19.19,12034,0.0,0,03,2015,6
2015-06-04,19.18,19.43,19.18,19.32,10379,0.0,0,04,2015,6
2015-06-05,19.29,19.29,19.01,19.22,3787,0.0,0,05,2015,6
2015-06-08,19.09,19.23,19.09,19.22,19700,0.0,0,08,2015,6
2015-06-09,19.09,19.27,19.09,19.2,11991,0.0,0,09,2015,6
2015-06-10,19.2,19.26,19.2,19.2,9586,0.0,0,10,2015,6
2015-06-11,19.29,19.34,19.29,19.32,6344,0.0,0,11,2015,6
2015-06-12,19.38,19.49,19.38,19.38,2244,0.0,0,12,2015,6
2015-06-15,19.1,19.37,19.1,19.29,844,0.0,0,15,2015,6
2015-06-16,19.29,19.34,19.29,19.29,3079,0.0,0,16,2015,6
2015-06-17,19.2,19.46,19.03,19.31,6105,0.0,0,17,2015,6
2015-06-18,19.09,19.39,19.09,19.19,9574,0.0,0,18,2015,6
2015-06-19,19.02,19.17,19.02,19.12,16756,0.0,0,19,2015,6
2015-06-22,19.12,19.36,19.12,19.29,20808,0.0,0,22,2015,6
2015-06-23,19.22,19.29,19.22,19.29,7718,0.0,0,23,2015,6
2015-06-24,19.3,19.43,19.24,19.26,7936,0.0,0,24,2015,6
2015-06-25,19.27,19.39,19.27,19.34,46344,0.0,0,25,2015,6
2015-06-26,19.24,19.37,19.24,19.31,8240,0.40625,0,26,2015,6
2015-06-29,19.19,19.39,19.19,19.19,12082,0.0,0,29,2015,6
2015-06-30,19.18,19.67,19.18,19.36,34860,0.0,0,30,2015,6
2015-07-01,19.39,19.6,19.24,19.5,117365,0.0,0,01,2015,7
2015-07-02,19.51,19.58,19.4,19.53,26948,0.0,0,02,2015,7
2015-07-06,19.51,19.52,19.45,19.48,2140,0.0,0,06,2015,7
2015-07-07,19.39,19.49,19.39,19.42,2063,0.0,0,07,2015,7
2015-07-08,19.39,19.46,19.35,19.36,4124,0.0,0,08,2015,7
2015-07-09,19.36,19.4,19.36,19.36,1539,0.0,0,09,2015,7
2015-07-10,19.53,19.53,19.27,19.39,3700,0.0,0,10,2015,7
2015-07-13,19.37,19.43,19.31,19.39,6507,0.0,0,13,2015,7
2015-07-14,19.36,19.36,19.34,19.34,950,0.0,0,14,2015,7
2015-07-15,19.51,19.51,19.36,19.5,10155,0.0,0,15,2015,7
2015-07-16,19.55,19.64,19.55,19.64,75595,0.0,0,16,2015,7
2015-07-17,19.55,19.61,19.5,19.61,6526,0.0,0,17,2015,7
2015-07-20,19.58,19.58,19.5,19.58,2028,0.0,0,20,2015,7
2015-07-21,19.58,19.58,19.31,19.48,178853,0.0,0,21,2015,7
2015-07-22,19.46,19.46,19.46,19.46,1596,0.0,0,22,2015,7
2015-07-23,19.39,19.53,19.39,19.45,18874,0.0,0,23,2015,7
2015-07-24,19.45,19.47,19.45,19.47,6327,0.0,0,24,2015,7
2015-07-27,19.35,19.54,19.35,19.48,13820,0.0,0,27,2015,7
2015-07-28,19.48,19.57,19.45,19.57,2433,0.0,0,28,2015,7
2015-07-29,19.54,19.55,19.42,19.47,7540,0.0,0,29,2015,7
2015-07-30,19.41,19.53,19.36,19.39,5998,0.0,0,30,2015,7
2015-07-31,19.5,19.5,19.46,19.5,11336,0.0,0,31,2015,7
2015-08-03,19.54,19.59,19.51,19.56,2617,0.0,0,03,2015,8
2015-08-04,19.56,19.6,19.56,19.6,1206,0.0,0,04,2015,8
2015-08-05,19.6,19.77,19.59,19.77,2426,0.0,0,05,2015,8
2015-08-06,19.77,19.84,19.61,19.83,7024,0.0,0,06,2015,8
2015-08-07,19.88,19.88,19.81,19.82,2064,0.0,0,07,2015,8
2015-08-10,19.83,19.9,19.69,19.71,29400,0.0,0,10,2015,8
2015-08-11,19.54,19.83,19.54,19.83,3037,0.0,0,11,2015,8
2015-08-12,19.8,19.8,19.67,19.76,16388,0.0,0,12,2015,8
2015-08-13,19.67,19.8,19.67,19.76,5594,0.0,0,13,2015,8
2015-08-14,19.8,19.8,19.69,19.76,2839,0.0,0,14,2015,8
2015-08-17,19.61,19.68,19.6,19.68,2229,0.0,0,17,2015,8
2015-08-18,19.74,19.87,19.54,19.64,61194,0.0,0,18,2015,8
2015-08-19,19.52,19.8,19.52,19.69,27489,0.0,0,19,2015,8
2015-08-20,19.72,19.73,19.65,19.65,28946,0.0,0,20,2015,8
2015-08-21,19.51,19.72,19.51,19.65,960,0.0,0,21,2015,8
2015-08-24,18.85,19.45,14.33,18.99,51211,0.0,0,24,2015,8
2015-08-25,19.1,19.39,18.99,19.1,103006,0.0,0,25,2015,8
2015-08-26,19.03,19.12,19.01,19.12,5483,0.0,0,26,2015,8
2015-08-27,19.38,19.42,19.17,19.27,8533,0.0,0,27,2015,8
2015-08-28,19.27,19.35,19.2,19.3,10021,0.0,0,28,2015,8
2015-08-31,19.09,19.12,18.83,18.97,24650,0.0,0,31,2015,8
2015-09-01,18.97,18.97,18.75,18.88,30539,0.0,0,01,2015,9
2015-09-02,18.91,19.0,18.85,18.99,9788,0.0,0,02,2015,9
2015-09-03,18.9,18.92,18.9,18.92,603,0.0,0,03,2015,9
2015-09-04,18.93,19.0,18.93,19.0,2200,0.0,0,04,2015,9
2015-09-08,18.94,19.0,18.9,19.0,140405,0.0,0,08,2015,9
2015-09-09,18.9,19.01,18.37,18.97,77723,0.0,0,09,2015,9
2015-09-10,18.96,18.96,18.9,18.94,4351,0.0,0,10,2015,9
2015-09-11,19.13,19.13,18.97,19.01,11878,0.0,0,11,2015,9
2015-09-14,18.96,18.97,18.94,18.94,2487,0.0,0,14,2015,9
2015-09-15,18.95,18.96,18.92,18.96,523,0.0,0,15,2015,9
2015-09-16,18.94,18.95,18.91,18.95,3589,0.0,0,16,2015,9
2015-09-17,18.97,19.18,18.9,19.15,6076,0.0,0,17,2015,9
2015-09-18,18.97,19.1,18.95,18.95,7512,0.0,0,18,2015,9
2015-09-21,18.93,18.97,18.88,18.94,136515,0.0,0,21,2015,9
2015-09-22,18.87,18.98,18.79,18.94,39306,0.0,0,22,2015,9
2015-09-23,18.86,18.96,18.83,18.91,5069,0.0,0,23,2015,9
2015-09-24,18.86,19.01,18.85,18.95,9243,0.0,0,24,2015,9
2015-09-25,19.08,19.08,19.0,19.03,9140,0.0,0,25,2015,9
2015-09-28,19.05,19.08,18.94,19.06,9339,0.40625,0,28,2015,9
2015-09-29,19.09,19.24,19.09,19.09,2998,0.0,0,29,2015,9
2015-09-30,19.36,19.36,18.91,18.91,8235,0.0,0,30,2015,9
2015-10-01,18.99,19.12,18.99,19.12,3404,0.0,0,01,2015,10
2015-10-02,19.05,19.12,18.95,19.12,5088,0.0,0,02,2015,10
2015-10-05,19.18,19.38,19.18,19.34,114209,0.0,0,05,2015,10
2015-10-06,19.25,19.37,19.25,19.37,23410,0.0,0,06,2015,10
2015-10-07,19.69,19.76,19.21,19.46,3668,0.0,0,07,2015,10
2015-10-08,19.66,19.66,19.36,19.37,1584,0.0,0,08,2015,10
2015-10-09,19.29,19.46,19.29,19.46,26822,0.0,0,09,2015,10
2015-10-12,19.47,19.54,19.47,19.51,1772,0.0,0,12,2015,10
2015-10-13,19.53,19.56,19.53,19.56,1411,0.0,0,13,2015,10
2015-10-14,19.55,19.55,19.54,19.54,4926,0.0,0,14,2015,10
2015-10-15,19.61,19.92,19.56,19.92,8867,0.0,0,15,2015,10
2015-10-16,19.86,19.91,19.58,19.91,81109,0.0,0,16,2015,10
2015-10-19,19.79,19.92,19.79,19.88,3874,0.0,0,19,2015,10
2015-10-20,19.84,20.06,19.84,20.0,4799,0.0,0,20,2015,10
2015-10-21,20.03,20.05,19.97,19.97,10022,0.0,0,21,2015,10
2015-10-22,20.1,20.13,20.0,20.0,6393,0.0,0,22,2015,10
2015-10-23,20.09,20.09,19.87,19.97,5772,0.0,0,23,2015,10
2015-10-26,20.0,20.0,19.93,19.95,3026,0.0,0,26,2015,10
2015-10-27,19.92,19.94,19.86,19.89,2461,0.0,0,27,2015,10
2015-10-28,19.86,20.09,19.71,20.09,14271,0.0,0,28,2015,10
2015-10-29,19.83,20.01,19.83,19.99,1795,0.0,0,29,2015,10
2015-10-30,20.05,20.05,19.91,20.02,5323,0.0,0,30,2015,10
2015-11-02,20.04,20.06,20.01,20.04,6988,0.0,0,02,2015,11
2015-11-03,19.65,20.09,19.65,20.02,14750,0.0,0,03,2015,11
2015-11-04,19.82,19.89,19.82,19.89,5578,0.0,0,04,2015,11
2015-11-05,19.76,20.07,19.76,20.03,3949,0.0,0,05,2015,11
2015-11-06,19.77,19.89,19.59,19.85,12561,0.0,0,06,2015,11
2015-11-09,19.69,19.69,19.46,19.59,8830,0.0,0,09,2015,11
2015-11-10,19.69,19.82,19.63,19.76,5742,0.0,0,10,2015,11
2015-11-11,19.76,19.97,19.76,19.97,7389,0.0,0,11,2015,11
2015-11-12,19.96,19.96,19.92,19.92,3229,0.0,0,12,2015,11
2015-11-13,19.93,19.93,19.83,19.87,2259,0.0,0,13,2015,11
2015-11-16,19.86,19.92,19.75,19.92,9339,0.0,0,16,2015,11
2015-11-17,19.79,19.82,19.74,19.78,3991,0.0,0,17,2015,11
2015-11-18,19.63,19.77,19.63,19.76,3238,0.0,0,18,2015,11
2015-11-19,19.44,19.7,19.44,19.7,9009,0.0,0,19,2015,11
2015-11-20,19.52,20.03,19.52,20.03,5521,0.0,0,20,2015,11
2015-11-23,20.02,20.05,19.86,20.0,12441,0.0,0,23,2015,11
2015-11-24,19.86,20.01,19.86,19.95,4599,0.0,0,24,2015,11
2015-11-25,19.72,20.07,19.72,20.05,4321,0.0,0,25,2015,11
2015-11-27,19.86,20.07,19.85,19.91,4219,0.0,0,27,2015,11
2015-11-30,19.97,20.03,19.82,19.93,3578,0.0,0,30,2015,11
2015-12-01,20.02,20.05,19.89,20.01,24953,0.0,0,01,2015,12
2015-12-02,19.89,20.07,19.89,20.07,3120,0.0,0,02,2015,12
2015-12-03,20.03,20.04,19.9,19.97,5303,0.0,0,03,2015,12
2015-12-04,19.94,19.94,19.83,19.94,29807,0.0,0,04,2015,12
2015-12-07,19.87,19.95,19.63,19.83,12973,0.0,0,07,2015,12
2015-12-08,19.53,19.78,19.4,19.73,6499,0.0,0,08,2015,12
2015-12-09,19.53,19.69,19.53,19.69,5983,0.0,0,09,2015,12
2015-12-11,19.71,19.77,19.71,19.77,556,0.0,0,11,2015,12
2015-12-14,19.41,19.41,19.14,19.25,21574,0.0,0,14,2015,12
2015-12-15,19.25,19.32,19.2,19.32,5954,0.0,0,15,2015,12
2015-12-16,19.47,19.47,19.17,19.23,454478,0.0,0,16,2015,12
2015-12-17,19.21,19.4,19.17,19.4,161812,0.0,0,17,2015,12
2015-12-18,19.25,19.95,19.21,19.32,61564,0.0,0,18,2015,12
2015-12-21,19.2,19.57,19.2,19.28,96070,0.0,0,21,2015,12
2015-12-22,19.57,19.59,19.32,19.43,4571,0.0,0,22,2015,12
2015-12-23,19.47,19.62,19.46,19.62,2294,0.0,0,23,2015,12
2015-12-24,19.38,19.57,19.38,19.54,407,0.0,0,24,2015,12
2015-12-28,19.52,19.52,19.37,19.52,3960,0.0,0,28,2015,12
2015-12-29,19.37,19.63,19.37,19.51,4924,0.0,0,29,2015,12
2015-12-30,19.54,19.73,19.45,19.68,7126,0.40625,0,30,2015,12
2015-12-31,19.79,19.97,19.75,19.76,6372,0.0,0,31,2015,12
2016-01-04,19.68,20.09,19.62,20.07,12950,0.0,0,04,2016,1
2016-01-05,20.32,20.67,20.29,20.56,45002,0.0,0,05,2016,1
2016-01-06,20.45,20.56,20.32,20.32,10110,0.0,0,06,2016,1
2016-01-07,20.22,20.33,20.14,20.17,10660,0.0,0,07,2016,1
2016-01-08,20.18,20.37,20.18,20.27,61262,0.0,0,08,2016,1
2016-01-11,20.24,20.27,20.18,20.27,2732,0.0,0,11,2016,1
2016-01-12,20.2,20.4,20.2,20.29,39418,0.0,0,12,2016,1
2016-01-13,20.37,20.37,20.27,20.27,2022,0.0,0,13,2016,1
2016-01-14,20.2,20.24,20.06,20.23,4115,0.0,0,14,2016,1
2016-01-15,20.17,20.17,19.94,20.01,9957,0.0,0,15,2016,1
2016-01-19,20.14,20.14,19.8,20.04,4574,0.0,0,19,2016,1
2016-01-20,19.75,19.95,19.68,19.95,13258,0.0,0,20,2016,1
2016-01-21,19.71,20.26,19.71,19.84,5437,0.0,0,21,2016,1
2016-01-25,19.83,19.9,19.83,19.88,2008,0.0,0,25,2016,1
2016-01-26,19.83,20.12,19.83,19.83,14816,0.0,0,26,2016,1
2016-01-27,19.97,20.25,19.79,19.94,93080,0.0,0,27,2016,1
2016-01-28,19.94,20.18,19.94,20.18,26057,0.0,0,28,2016,1
2016-01-29,20.15,20.21,20.06,20.15,89474,0.0,0,29,2016,1
2016-02-01,20.06,20.25,20.06,20.1,2654,0.0,0,01,2016,2
2016-02-02,20.09,20.09,20.01,20.01,2550,0.0,0,02,2016,2
2016-02-03,20.21,20.21,19.96,20.07,8338,0.0,0,03,2016,2
2016-02-04,20.14,20.19,20.1,20.14,1633,0.0,0,04,2016,2
2016-02-05,20.14,20.24,20.14,20.15,7217,0.0,0,05,2016,2
2016-02-08,20.12,20.12,19.87,19.88,5791,0.0,0,08,2016,2
2016-02-09,19.79,20.09,19.59,20.09,30692,0.0,0,09,2016,2
2016-02-10,19.98,20.0,19.83,19.83,6196,0.0,0,10,2016,2
2016-02-11,19.75,19.83,19.32,19.67,36704,0.0,0,11,2016,2
2016-02-12,19.84,19.86,19.5,19.5,15659,0.0,0,12,2016,2
2016-02-16,19.52,19.79,19.52,19.79,20889,0.0,0,16,2016,2
2016-02-17,20.08,20.18,19.77,19.94,4016,0.0,0,17,2016,2
2016-02-18,19.59,20.27,19.59,20.27,22333,0.0,0,18,2016,2
2016-02-19,20.26,20.33,20.18,20.33,164647,0.0,0,19,2016,2
