Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,4.68,4.83,4.66,4.83,286000,0.0,0,04,2010,1
2010-01-05,4.82,4.92,4.82,4.88,341800,0.0,0,05,2010,1
2010-01-06,4.91,4.98,4.88,4.95,335500,0.0,0,06,2010,1
2010-01-07,4.95,4.98,4.88,4.93,221300,0.0,0,07,2010,1
2010-01-08,4.88,5.2,4.88,5.17,476700,0.0,0,08,2010,1
2010-01-11,5.24,5.33,5.16,5.3,294400,0.0,0,11,2010,1
2010-01-12,5.28,5.45,5.2,5.23,399800,0.0,0,12,2010,1
2010-01-13,5.28,5.31,5.11,5.2,205300,0.0,0,13,2010,1
2010-01-14,5.24,5.43,5.22,5.42,344100,0.0,0,14,2010,1
2010-01-15,5.4,5.51,5.19,5.51,343000,0.0,0,15,2010,1
2010-01-19,5.43,5.71,5.43,5.59,435100,0.0,0,19,2010,1
2010-01-20,5.61,5.62,5.42,5.52,264600,0.0,0,20,2010,1
2010-01-21,5.48,5.61,5.33,5.4,433200,0.0,0,21,2010,1
2010-01-22,5.33,5.48,5.19,5.44,382400,0.0,0,22,2010,1
2010-01-25,5.46,5.53,5.36,5.41,259300,0.0,0,25,2010,1
2010-01-26,5.46,5.5,5.36,5.44,183600,0.0,0,26,2010,1
2010-01-27,5.42,5.68,5.24,5.66,484200,0.0,0,27,2010,1
2010-01-28,5.75,5.77,5.43,5.69,269100,0.1,0,28,2010,1
2010-01-29,5.69,5.7,5.23,5.26,270100,0.0,0,29,2010,1
2010-02-01,5.27,5.33,4.94,5.08,473200,0.0,0,01,2010,2
2010-02-02,5.06,5.31,5.05,5.3,305700,0.0,0,02,2010,2
2010-02-03,5.38,5.52,5.34,5.46,388200,0.0,0,03,2010,2
2010-02-04,5.48,5.48,5.13,5.18,251400,0.0,0,04,2010,2
2010-02-05,5.16,5.32,4.93,5.07,319800,0.0,0,05,2010,2
2010-02-08,5.15,5.15,4.97,5.01,139600,0.0,0,08,2010,2
2010-02-09,5.04,5.08,4.93,5.04,169300,0.0,0,09,2010,2
2010-02-10,5.02,5.03,4.92,4.96,263800,0.0,0,10,2010,2
2010-02-11,4.91,5.08,4.9,5.07,101700,0.0,0,11,2010,2
2010-02-12,5.05,5.08,4.97,5.06,96100,0.0,0,12,2010,2
2010-02-16,5.08,5.2,5.07,5.2,150600,0.0,0,16,2010,2
2010-02-17,5.2,5.23,5.05,5.14,181700,0.0,0,17,2010,2
2010-02-18,5.12,5.2,5.05,5.15,97600,0.0,0,18,2010,2
2010-02-19,5.19,5.22,5.06,5.2,136500,0.0,0,19,2010,2
2010-02-22,5.23,5.25,5.11,5.12,155600,0.0,0,22,2010,2
2010-02-23,5.08,5.11,4.97,5.0,173400,0.0,0,23,2010,2
2010-02-24,5.05,5.15,5.01,5.07,188200,0.0,0,24,2010,2
2010-02-25,4.96,5.15,4.95,5.14,117600,0.0,0,25,2010,2
2010-02-26,5.14,5.22,5.05,5.19,171700,0.0,0,26,2010,2
2010-03-01,5.18,5.23,5.11,5.19,129200,0.0,0,01,2010,3
2010-03-02,5.17,5.2,5.07,5.14,187200,0.0,0,02,2010,3
2010-03-03,5.19,5.29,5.1,5.24,215600,0.0,0,03,2010,3
2010-03-04,5.2,5.28,5.1,5.18,173700,0.0,0,04,2010,3
2010-03-05,5.16,5.38,5.14,5.19,159800,0.0,0,05,2010,3
2010-03-08,5.24,5.38,5.2,5.28,247500,0.0,0,08,2010,3
2010-03-09,5.22,5.23,5.15,5.2,151800,0.0,0,09,2010,3
2010-03-10,5.27,5.4,5.24,5.4,203300,0.0,0,10,2010,3
2010-03-11,5.35,5.43,5.3,5.35,194800,0.0,0,11,2010,3
2010-03-12,5.37,5.39,5.23,5.28,180800,0.0,0,12,2010,3
