Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,190.85,190.85,180.13,180.83,132600,0.0,0,04,2010,1
2010-01-05,180.94,182.34,179.76,180.32,77700,0.0,0,05,2010,1
2010-01-06,179.86,187.04,179.71,184.41,155600,0.0,0,06,2010,1
2010-01-07,183.48,190.79,183.48,188.97,136600,0.0,0,07,2010,1
2010-01-08,184.62,187.29,183.86,186.1,71600,0.0,0,08,2010,1
2010-01-11,186.8,187.76,183.24,186.98,96800,0.0,0,11,2010,1
2010-01-12,186.12,188.2,185.26,188.05,76400,0.0,0,12,2010,1
2010-01-13,187.93,190.09,187.05,188.36,54700,0.0,0,13,2010,1
2010-01-14,186.09,189.06,186.09,187.17,81700,0.0,0,14,2010,1
2010-01-15,187.63,188.7,186.28,186.29,57700,0.0,0,15,2010,1
2010-01-19,185.68,188.16,181.97,186.48,127300,0.0,0,19,2010,1
2010-01-20,186.39,189.39,183.55,188.8,100800,0.0,0,20,2010,1
2010-01-21,190.42,196.06,188.64,193.87,314000,0.0,0,21,2010,1
2010-01-22,193.87,196.43,193.33,194.84,166000,0.0,0,22,2010,1
2010-01-25,195.26,195.26,188.91,190.42,182100,0.0,0,25,2010,1
2010-01-26,190.42,190.42,185.98,186.96,132900,0.0,0,26,2010,1
2010-01-27,187.33,190.8,186.85,190.51,259100,0.0,0,27,2010,1
2010-01-28,188.7,188.7,183.23,184.92,110200,0.0,0,28,2010,1
2010-01-29,184.67,184.67,177.4,179.03,171700,0.0,0,29,2010,1
2010-02-01,178.73,180.7,176.33,180.36,121000,0.0,0,01,2010,2
2010-02-02,180.07,181.06,177.76,179.73,158600,0.0,0,02,2010,2
2010-02-03,179.48,181.03,179.25,180.56,160300,0.0,0,03,2010,2
2010-02-04,179.27,180.55,177.03,178.63,162100,0.0,0,04,2010,2
2010-02-05,178.14,179.22,175.78,178.17,116900,0.0,0,05,2010,2
2010-02-08,177.83,179.91,175.78,177.62,63500,0.0,0,08,2010,2
2010-02-09,177.37,178.42,176.38,177.83,72200,0.0,0,09,2010,2
2010-02-10,178.44,181.31,176.9,181.02,108000,0.0,0,10,2010,2
2010-02-11,170.64,180.81,164.33,176.05,1002100,0.0,0,11,2010,2
2010-02-12,174.92,178.77,172.33,177.72,317700,0.0,0,12,2010,2
2010-02-16,178.83,185.17,178.66,184.59,220300,0.0,0,16,2010,2
2010-02-17,184.28,186.45,183.79,185.22,211500,0.0,0,17,2010,2
2010-02-18,188.53,188.53,184.62,187.09,217900,0.0,0,18,2010,2
2010-02-19,185.21,187.83,180.94,187.58,269100,0.0,0,19,2010,2
2010-02-22,188.26,189.44,184.22,189.12,143900,0.0,0,22,2010,2
2010-02-23,188.31,190.94,188.31,189.49,126200,0.75,0,23,2010,2
2010-02-24,189.18,191.58,188.68,191.58,163400,0.0,0,24,2010,2
2010-02-25,191.2,196.64,190.85,194.25,287600,0.0,0,25,2010,2
2010-02-26,193.71,197.56,192.25,196.12,160300,0.0,0,26,2010,2
2010-03-01,197.57,201.7,195.79,200.62,218400,0.0,0,01,2010,3
2010-03-02,200.59,201.44,193.67,199.92,151800,0.0,0,02,2010,3
2010-03-03,199.57,205.71,198.58,203.61,175200,0.0,0,03,2010,3
2010-03-04,204.29,208.7,202.58,207.52,252700,0.0,0,04,2010,3
2010-03-05,209.08,214.42,207.56,209.59,163600,0.0,0,05,2010,3
2010-03-08,209.25,209.25,205.3,206.76,132000,0.0,0,08,2010,3
2010-03-09,205.57,210.85,204.74,205.76,155100,0.0,0,09,2010,3
2010-03-10,206.25,210.24,205.93,209.08,112700,0.0,0,10,2010,3
2010-03-11,207.98,210.12,207.98,210.1,103600,0.0,0,11,2010,3
2010-03-12,211.54,213.61,208.29,212.25,110000,0.0,0,12,2010,3
2010-03-15,212.33,213.09,208.76,210.95,76300,0.0,0,15,2010,3
2010-03-16,210.52,214.81,210.06,213.17,83600,0.0,0,16,2010,3
2010-03-17,212.68,213.15,209.85,211.02,110600,0.0,0,17,2010,3
2010-03-18,212.17,213.49,209.08,210.63,96000,0.0,0,18,2010,3
2010-03-19,211.48,213.24,208.47,209.49,132500,0.0,0,19,2010,3
2010-03-22,211.24,214.51,209.02,212.82,67500,0.0,0,22,2010,3
2010-03-23,211.54,213.55,209.75,213.3,91300,0.0,0,23,2010,3
2010-03-24,211.83,211.83,208.02,208.81,109600,0.0,0,24,2010,3
2010-03-25,209.35,211.8,208.46,209.45,71500,0.0,0,25,2010,3
2010-03-26,210.19,211.06,206.86,207.98,54600,0.0,0,26,2010,3
2010-03-29,209.22,211.25,208.18,210.42,89900,0.0,0,29,2010,3
2010-03-30,211.01,212.77,210.1,211.15,118500,0.0,0,30,2010,3
2010-03-31,209.0,212.17,209.0,210.55,114800,0.0,0,31,2010,3
2010-04-01,211.61,215.02,207.93,208.96,118000,0.0,0,01,2010,4
2010-04-05,209.92,211.9,207.68,211.59,74100,0.0,0,05,2010,4
2010-04-06,210.57,213.29,209.65,212.15,197200,0.0,0,06,2010,4
2010-04-07,212.77,213.07,206.66,208.15,177600,0.0,0,07,2010,4
2010-04-08,208.56,209.2,205.48,205.85,66400,0.0,0,08,2010,4
2010-04-09,204.0,208.19,203.18,206.38,165200,0.0,0,09,2010,4
2010-04-12,207.41,207.41,203.43,206.28,64900,0.0,0,12,2010,4
2010-04-13,207.08,221.77,206.57,218.05,345600,0.0,0,13,2010,4
2010-04-14,219.15,220.45,215.08,216.15,252500,0.0,0,14,2010,4
2010-04-15,216.55,219.7,215.89,218.75,51100,0.0,0,15,2010,4
2010-04-16,217.84,222.19,217.63,220.04,71700,0.0,0,16,2010,4
2010-04-19,219.17,222.04,217.59,218.78,81200,0.0,0,19,2010,4
2010-04-20,219.21,220.34,215.4,219.49,143100,0.0,0,20,2010,4
2010-04-21,218.05,226.9,217.14,223.48,128300,0.0,0,21,2010,4
2010-04-22,221.74,224.53,218.26,223.31,135100,0.0,0,22,2010,4
2010-04-23,222.68,225.59,218.15,218.77,124500,0.0,0,23,2010,4
2010-04-26,218.31,218.31,212.39,215.09,176800,0.0,0,26,2010,4
2010-04-27,216.42,217.34,214.59,215.07,80800,0.0,0,27,2010,4
2010-04-28,216.12,219.93,212.15,213.34,179700,0.0,0,28,2010,4
2010-04-29,218.84,219.04,199.72,211.47,442200,0.0,0,29,2010,4
2010-04-30,211.83,218.22,210.2,210.2,143100,0.0,0,30,2010,4
2010-05-03,208.58,215.51,207.46,212.91,119400,0.0,0,03,2010,5
2010-05-04,210.04,214.41,208.27,210.49,90600,0.0,0,04,2010,5
2010-05-05,207.91,214.51,206.79,211.83,100200,0.0,0,05,2010,5
2010-05-06,210.88,214.15,204.05,210.16,117500,0.0,0,06,2010,5
2010-05-07,211.07,214.3,203.15,203.21,130600,0.0,0,07,2010,5
2010-05-10,208.2,209.08,201.89,204.81,175300,0.0,0,10,2010,5
2010-05-11,204.63,210.84,204.63,207.98,168600,0.0,0,11,2010,5
2010-05-12,208.84,211.18,208.02,209.01,199300,0.0,0,12,2010,5
2010-05-13,209.46,211.0,206.52,207.04,72200,0.0,0,13,2010,5
2010-05-14,206.02,207.78,202.23,202.24,107700,0.0,0,14,2010,5
2010-05-17,204.62,213.89,199.03,211.83,411300,0.0,0,17,2010,5
2010-05-18,213.93,219.93,209.64,210.21,265900,0.0,0,18,2010,5
2010-05-19,208.96,215.28,208.62,211.57,204600,0.0,0,19,2010,5
2010-05-20,208.77,214.41,204.5,205.82,218600,0.0,0,20,2010,5
2010-05-21,203.89,210.1,202.77,205.42,153000,0.0,0,21,2010,5
2010-05-24,201.67,206.4,200.93,204.73,94800,0.0,0,24,2010,5
2010-05-25,195.16,207.35,193.8,205.13,195900,0.75,0,25,2010,5
2010-05-26,205.13,210.76,205.04,208.13,198600,0.0,0,26,2010,5
2010-05-27,210.55,211.56,206.38,210.05,168800,0.0,0,27,2010,5
2010-05-28,209.27,212.25,208.16,208.16,164800,0.0,0,28,2010,5
2010-06-01,207.68,210.63,205.06,209.99,123100,0.0,0,01,2010,6
2010-06-02,208.33,215.69,208.33,214.77,116200,0.0,0,02,2010,6
2010-06-03,212.63,217.76,212.63,216.48,118200,0.0,0,03,2010,6
2010-06-04,212.61,220.36,212.61,216.73,151300,0.0,0,04,2010,6
2010-06-07,217.62,217.69,210.85,211.0,255900,0.0,0,07,2010,6
2010-06-08,210.56,216.36,210.56,213.76,336000,0.0,0,08,2010,6
2010-06-09,213.79,215.3,211.28,213.0,145900,0.0,0,09,2010,6
2010-06-10,214.02,220.15,213.83,215.12,193200,0.0,0,10,2010,6
2010-06-11,214.81,221.26,213.95,217.14,171700,0.0,0,11,2010,6
2010-06-14,218.95,218.95,212.65,212.91,129700,0.0,0,14,2010,6
2010-06-15,213.7,218.3,212.75,216.91,260300,0.0,0,15,2010,6
2010-06-16,217.01,221.74,213.63,214.65,139000,0.0,0,16,2010,6
2010-06-17,216.15,217.23,213.53,214.75,41800,0.0,0,17,2010,6
2010-06-18,214.44,217.54,212.26,213.49,94700,0.0,0,18,2010,6
2010-06-21,214.34,217.56,208.17,208.9,116100,0.0,0,21,2010,6
2010-06-22,208.53,212.44,201.71,202.44,210600,0.0,0,22,2010,6
2010-06-23,201.8,205.52,200.75,201.21,160200,0.0,0,23,2010,6
2010-06-24,200.42,205.68,197.15,201.74,126200,0.0,0,24,2010,6
2010-06-25,201.79,204.51,188.84,190.21,265800,0.0,0,25,2010,6
2010-06-28,191.37,193.46,188.17,190.55,189900,0.0,0,28,2010,6
2010-06-29,189.56,190.37,183.43,184.42,152300,0.0,0,29,2010,6
2010-06-30,183.62,187.51,178.17,180.31,220400,0.0,0,30,2010,6
2010-07-01,178.37,185.61,175.73,180.83,379700,0.0,0,01,2010,7
2010-07-02,180.84,183.48,177.8,178.26,91100,0.0,0,02,2010,7
2010-07-06,179.04,183.95,175.51,177.04,169900,0.0,0,06,2010,7
2010-07-07,177.37,181.6,176.08,180.35,96800,0.0,0,07,2010,7
2010-07-08,181.37,186.43,179.56,183.88,84300,0.0,0,08,2010,7
2010-07-09,183.3,183.3,179.89,181.7,129400,0.0,0,09,2010,7
2010-07-12,181.33,184.23,181.27,182.89,88800,0.0,0,12,2010,7
2010-07-13,184.21,186.02,182.24,185.22,66400,0.0,0,13,2010,7
2010-07-14,185.51,188.51,184.26,185.84,72900,0.0,0,14,2010,7
2010-07-15,186.09,189.72,184.74,188.07,105900,0.0,0,15,2010,7
2010-07-16,187.77,193.19,185.48,191.21,179700,0.0,0,16,2010,7
2010-07-19,191.63,210.76,191.63,194.44,460700,0.0,0,19,2010,7
2010-07-20,192.99,202.84,190.29,202.09,176400,0.0,0,20,2010,7
2010-07-21,202.71,202.71,193.89,194.34,186100,0.0,0,21,2010,7
2010-07-22,195.92,195.92,185.62,190.12,218200,0.0,0,22,2010,7
2010-07-23,191.26,212.06,191.16,205.12,319800,0.0,0,23,2010,7
2010-07-26,205.13,206.41,201.7,203.4,167700,0.0,0,26,2010,7
2010-07-27,203.92,206.24,200.48,202.96,177700,0.0,0,27,2010,7
2010-07-28,202.22,207.17,201.5,204.66,135000,0.0,0,28,2010,7
2010-07-29,207.54,208.14,203.58,204.02,256300,0.0,0,29,2010,7
2010-07-30,202.62,209.05,200.44,207.64,190100,0.0,0,30,2010,7
2010-08-02,208.55,209.69,205.28,207.74,229100,0.0,0,02,2010,8
2010-08-03,206.23,206.42,197.75,198.58,288400,0.0,0,03,2010,8
2010-08-04,199.51,201.86,197.75,198.15,235200,0.0,0,04,2010,8
2010-08-05,198.15,198.78,190.75,190.94,265400,0.0,0,05,2010,8
2010-08-06,185.61,190.57,181.51,187.86,460100,0.0,0,06,2010,8
2010-08-09,188.22,192.32,186.17,189.27,211300,0.0,0,09,2010,8
2010-08-10,188.07,188.98,184.18,187.4,221700,0.0,0,10,2010,8
2010-08-11,185.57,187.63,181.58,183.15,305300,0.0,0,11,2010,8
2010-08-12,181.88,183.46,180.59,181.97,197000,0.0,0,12,2010,8
2010-08-13,176.1,179.13,172.34,173.48,456800,0.0,0,13,2010,8
2010-08-16,143.28,153.09,139.74,141.6,2659200,0.0,0,16,2010,8
