Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,10.24,10.44,10.24,10.33,5172900,0.0,0,04,2010,1
2010-01-05,10.29,10.58,10.2,10.37,6131900,0.0,0,05,2010,1
2010-01-06,10.29,10.5,10.23,10.28,5843800,0.0,0,06,2010,1
2010-01-07,10.18,10.35,10.14,10.33,4347200,0.0,0,07,2010,1
2010-01-08,10.25,10.45,10.25,10.45,4084500,0.0,0,08,2010,1
2010-01-11,10.76,10.88,10.62,10.86,7892800,0.0,0,11,2010,1
2010-01-12,10.88,10.91,10.36,10.43,5991400,0.0,0,12,2010,1
2010-01-13,10.56,10.63,10.12,10.29,6349700,0.0,0,13,2010,1
2010-01-14,10.2,10.34,10.01,10.18,5130900,0.0,0,14,2010,1
2010-01-15,10.18,10.25,9.64,9.74,5314700,0.0,0,15,2010,1
2010-01-19,9.8,9.97,9.68,9.96,5055300,0.0,0,19,2010,1
2010-01-20,9.81,9.88,9.68,9.8,6742500,0.0,0,20,2010,1
2010-01-21,9.8,10.06,9.62,9.83,7504500,0.0,0,21,2010,1
2010-01-22,9.76,9.76,9.16,9.2,6836600,0.0,0,22,2010,1
2010-01-25,9.29,9.53,9.22,9.34,3992700,0.0,0,25,2010,1
2010-01-26,9.31,9.66,9.23,9.54,6601200,0.0,0,26,2010,1
2010-01-27,9.53,9.71,9.34,9.67,6750500,0.0,0,27,2010,1
2010-01-28,10.16,10.16,8.73,8.95,15228400,0.0,0,28,2010,1
2010-01-29,9.18,9.37,8.7,8.81,9828100,0.0,0,29,2010,1
2010-02-01,8.82,9.14,8.81,9.09,7691500,0.0,0,01,2010,2
2010-02-02,9.12,9.43,9.04,9.24,5874400,0.0,0,02,2010,2
2010-02-03,9.24,9.37,9.01,9.07,4865900,0.0,0,03,2010,2
2010-02-04,9.01,9.01,8.47,8.55,8511400,0.0,0,04,2010,2
2010-02-05,8.55,8.81,8.44,8.77,7401200,0.0,0,05,2010,2
2010-02-08,8.76,9.0,8.67,8.72,4570000,0.0,0,08,2010,2
2010-02-09,8.96,8.98,8.67,8.79,6137400,0.0,0,09,2010,2
2010-02-10,8.77,8.9,8.65,8.82,4853600,0.0,0,10,2010,2
2010-02-11,8.79,9.2,8.74,9.16,4922500,0.0,0,11,2010,2
2010-02-12,9.04,9.38,8.91,9.25,4757300,0.0,0,12,2010,2
2010-02-16,9.3,9.57,9.28,9.54,3847400,0.0,0,16,2010,2
2010-02-17,9.55,9.62,9.38,9.43,2417400,0.0,0,17,2010,2
