Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2010-01-04,20.11,20.27,19.98,20.03,368000,0.0,0,04,2010,1
2010-01-05,20.12,20.29,19.81,20.01,349700,0.0,0,05,2010,1
2010-01-06,20.15,20.17,19.9,19.96,278100,0.0,0,06,2010,1
2010-01-07,19.98,20.05,19.58,19.72,335600,0.0,0,07,2010,1
2010-01-08,19.77,19.83,19.61,19.77,317400,0.0,0,08,2010,1
2010-01-11,19.88,19.89,19.65,19.72,394000,0.0,0,11,2010,1
2010-01-12,19.55,19.78,19.5,19.75,391900,0.0,0,12,2010,1
2010-01-13,19.8,19.89,19.6,19.63,353700,0.0,0,13,2010,1
2010-01-14,19.68,19.83,19.65,19.73,147000,0.0,0,14,2010,1
2010-01-15,19.71,19.82,19.54,19.65,276500,0.0,0,15,2010,1
2010-01-19,19.6,19.86,19.6,19.77,253500,0.0,0,19,2010,1
2010-01-20,19.5,19.67,19.38,19.61,280700,0.0,0,20,2010,1
2010-01-21,19.68,19.8,19.42,19.67,419200,0.0,0,21,2010,1
2010-01-22,19.47,19.49,19.09,19.09,343600,0.0,0,22,2010,1
2010-01-25,19.07,19.18,18.74,19.08,498800,0.0,0,25,2010,1
2010-01-26,18.83,19.01,18.61,18.89,401400,0.0,0,26,2010,1
2010-01-27,18.79,18.84,18.54,18.67,327400,0.0,0,27,2010,1
2010-01-28,18.79,18.84,18.49,18.57,301100,0.0,0,28,2010,1
2010-01-29,18.61,18.7,18.42,18.46,300100,0.0,0,29,2010,1
2010-02-01,18.49,18.78,18.45,18.75,271500,0.0,0,01,2010,2
2010-02-02,18.8,18.87,18.6,18.83,250400,0.0,0,02,2010,2
2010-02-03,18.87,18.94,18.74,18.83,203300,0.0,0,03,2010,2
2010-02-04,18.73,18.74,18.43,18.54,400900,0.0,0,04,2010,2
2010-02-05,18.57,18.69,18.27,18.59,490100,0.0,0,05,2010,2
2010-02-08,18.65,18.65,18.38,18.42,393200,0.0,0,08,2010,2
2010-02-09,18.56,18.67,18.35,18.52,343100,0.0,0,09,2010,2
2010-02-10,18.6,18.62,18.38,18.57,229500,0.0,0,10,2010,2
2010-02-11,18.61,18.79,18.53,18.79,268000,0.0,0,11,2010,2
2010-02-12,18.63,18.75,18.61,18.75,236600,0.0,0,12,2010,2
2010-02-16,18.82,19.02,18.82,18.99,178300,0.0,0,16,2010,2
2010-02-17,19.0,19.23,18.93,19.17,275800,0.0,0,17,2010,2
2010-02-18,19.23,19.35,19.12,19.24,359900,0.0,0,18,2010,2
2010-02-19,19.26,19.44,19.18,19.32,231800,0.0,0,19,2010,2
2010-02-22,19.37,19.48,19.17,19.2,265400,0.0,0,22,2010,2
2010-02-23,19.19,19.33,19.05,19.15,241300,0.0,0,23,2010,2
2010-02-24,19.26,19.33,18.94,19.3,362200,0.0,0,24,2010,2
2010-02-25,18.99,19.23,18.86,19.16,361100,0.0,0,25,2010,2
2010-02-26,19.23,19.23,18.9,19.09,308600,0.0,0,26,2010,2
2010-03-01,19.22,19.42,19.2,19.41,223500,0.0,0,01,2010,3
2010-03-02,19.48,19.65,19.48,19.63,299000,0.0,0,02,2010,3
2010-03-03,19.72,19.86,19.71,19.8,289700,0.0,0,03,2010,3
