Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2018-10-10,22.77,22.99,22.34,22.34,6034,0.0,0,10,2018,10
2018-10-11,22.98,23.1,22.55,22.62,1800,0.0,0,11,2018,10
2018-10-12,23.3,23.3,22.58,22.63,3000,0.0,0,12,2018,10
2018-10-15,22.67,22.7,22.52,22.52,8300,0.0,0,15,2018,10
2018-10-16,23.01,23.01,22.49,22.55,9500,0.0,0,16,2018,10
2018-10-17,22.55,22.56,22.54,22.56,1900,0.0,0,17,2018,10
2018-10-18,22.59,22.6,22.43,22.57,1800,0.0,0,18,2018,10
2018-10-19,22.91,22.97,22.58,22.97,4800,0.0,0,19,2018,10
2018-10-22,22.58,22.68,22.56,22.68,3900,0.0,0,22,2018,10
2018-10-23,22.9,22.9,22.57,22.57,1800,0.0,0,23,2018,10
2018-10-24,22.64,22.88,22.64,22.87,2400,0.0,0,24,2018,10
2018-10-25,22.85,23.02,22.85,23.02,700,0.0,0,25,2018,10
2018-10-26,23.02,23.02,23.02,23.02,700,0.0,0,26,2018,10
2018-10-29,23.01,23.18,22.79,23.14,4600,0.0,0,29,2018,10
2018-10-30,23.2,23.2,22.73,22.73,1400,0.0,0,30,2018,10
2018-10-31,22.79,23.02,22.79,23.02,1200,0.0,0,31,2018,10
2018-11-01,23.12,23.12,23.02,23.02,2900,0.0,0,01,2018,11
2018-11-02,23.02,23.02,22.79,22.8,1800,0.0,0,02,2018,11
2018-11-05,22.8,22.8,22.8,22.8,400,0.0,0,05,2018,11
2018-11-06,22.66,22.91,22.64,22.85,1800,0.0,0,06,2018,11
2018-11-07,22.92,22.92,22.66,22.66,2100,0.0,0,07,2018,11
2018-11-08,22.2,22.2,22.2,22.2,900,0.0,0,08,2018,11
2018-11-09,22.56,22.79,22.56,22.79,2100,0.0,0,09,2018,11
2018-11-12,22.81,22.81,22.47,22.54,1800,0.0,0,12,2018,11
2018-11-13,22.79,22.79,22.54,22.59,1200,0.0,0,13,2018,11
2018-11-14,22.77,22.77,22.56,22.62,11300,0.0,0,14,2018,11
2018-11-15,22.56,22.66,22.56,22.66,14800,0.0,0,15,2018,11
2018-11-16,22.51,22.51,22.51,22.51,500,0.0,0,16,2018,11
2018-11-19,22.92,22.92,22.77,22.82,2900,0.0,0,19,2018,11
2018-11-20,22.68,22.68,22.47,22.48,6100,0.0,0,20,2018,11
2018-11-21,22.66,22.66,22.66,22.66,600,0.0,0,21,2018,11
2018-11-23,22.77,22.77,22.65,22.65,1400,0.0,0,23,2018,11
2018-11-26,22.77,22.77,22.43,22.48,2400,0.0,0,26,2018,11
2018-11-27,22.43,22.43,22.21,22.21,1500,0.0,0,27,2018,11
2018-11-28,22.47,22.56,22.06,22.35,25300,0.0,0,28,2018,11
