Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2012-01-27,11.0,11.47,10.75,11.09,747800,0,0,27,2012,1
2012-01-30,10.62,11.4,10.62,11.4,88900,0,0,30,2012,1
2012-01-31,11.1,11.15,10.05,10.96,110900,0,0,31,2012,1
2012-02-01,11.18,11.19,10.74,11.0,12100,0,0,01,2012,2
2012-02-02,11.2,11.2,10.65,11.0,62700,0,0,02,2012,2
2012-02-03,11.05,11.15,10.84,11.14,42300,0,0,03,2012,2
2012-02-06,11.18,11.18,10.66,10.94,46800,0,0,06,2012,2
2012-02-07,10.71,11.15,10.71,10.93,5000,0,0,07,2012,2
2012-02-08,10.9,11.18,10.88,11.0,15700,0,0,08,2012,2
2012-02-09,11.01,11.11,10.8,10.88,13700,0,0,09,2012,2
2012-02-10,10.88,10.9,10.36,10.9,48600,0,0,10,2012,2
2012-02-13,11.39,11.63,10.81,11.32,34800,0,0,13,2012,2
2012-02-14,11.27,11.57,10.63,11.39,29800,0,0,14,2012,2
2012-02-15,11.03,11.54,11.03,11.34,19500,0,0,15,2012,2
2012-02-16,11.75,11.75,11.29,11.58,9100,0,0,16,2012,2
2012-02-17,11.55,11.75,11.44,11.52,29900,0,0,17,2012,2
2012-02-21,11.59,11.61,10.78,11.01,4400,0,0,21,2012,2
2012-02-22,11.07,11.44,10.75,11.05,3900,0,0,22,2012,2
2012-02-23,10.95,11.85,10.95,11.3,10200,0,0,23,2012,2
2012-02-24,11.19,11.53,10.5,10.86,10500,0,0,24,2012,2
2012-02-27,11.82,11.82,10.73,11.5,2400,0,0,27,2012,2
2012-02-28,11.85,11.85,11.02,11.6,3300,0,0,28,2012,2
2012-02-29,11.5,11.7,11.03,11.6,3100,0,0,29,2012,2
2012-03-01,11.7,11.7,11.01,11.3,10500,0,0,01,2012,3
2012-03-02,11.67,11.7,11.03,11.7,4800,0,0,02,2012,3
2012-03-05,11.7,11.7,11.14,11.16,17300,0,0,05,2012,3
2012-03-06,11.16,11.16,10.78,11.1,7100,0,0,06,2012,3
2012-03-07,11.26,11.8,10.73,10.86,39500,0,0,07,2012,3
2012-03-08,10.94,11.99,10.8,10.82,30100,0,0,08,2012,3
2012-03-09,10.85,11.5,10.71,11.23,13000,0,0,09,2012,3
2012-03-12,11.39,11.39,10.9,11.36,13600,0,0,12,2012,3
2012-03-13,11.33,11.5,10.9,11.2,17800,0,0,13,2012,3
2012-03-14,10.97,11.4,10.91,11.0,16200,0,0,14,2012,3
2012-03-15,11.03,12.24,11.03,12.01,53700,0,0,15,2012,3
2012-03-16,12.21,12.21,10.95,11.05,51900,0,0,16,2012,3
2012-03-19,11.14,11.4,11.02,11.02,6500,0,0,19,2012,3
2012-03-20,10.99,11.37,10.95,11.07,9000,0,0,20,2012,3
2012-03-21,11.05,11.15,10.51,10.7,20100,0,0,21,2012,3
2012-03-22,10.71,10.75,10.06,10.64,23900,0,0,22,2012,3
2012-03-23,10.56,10.95,10.56,10.93,5900,0,0,23,2012,3
2012-03-26,10.79,10.95,10.5,10.87,11400,0,0,26,2012,3
2012-03-27,10.95,10.95,10.42,10.74,31600,0,0,27,2012,3
2012-03-28,10.66,10.88,10.52,10.85,20000,0,0,28,2012,3
2012-03-29,10.78,10.9,10.5,10.63,35400,0,0,29,2012,3
2012-03-30,10.63,11.11,10.58,10.93,516800,0,0,30,2012,3
2012-04-02,10.94,11.12,10.65,10.91,36500,0,0,02,2012,4
2012-04-03,10.94,10.94,10.52,10.73,14400,0,0,03,2012,4
2012-04-04,10.64,10.94,10.55,10.61,12400,0,0,04,2012,4
2012-04-05,10.63,10.72,10.59,10.59,3000,0,0,05,2012,4
2012-04-09,10.5,10.77,10.49,10.77,16800,0,0,09,2012,4
2012-04-10,10.7,10.98,10.56,10.59,76400,0,0,10,2012,4
2012-04-11,10.78,11.27,10.57,11.11,24700,0,0,11,2012,4
2012-04-12,11.09,11.37,10.99,11.0,17500,0,0,12,2012,4
2012-04-13,10.71,10.9,10.6,10.6,9900,0,0,13,2012,4
2012-04-16,10.62,10.62,10.18,10.28,8800,0,0,16,2012,4
2012-04-17,10.39,10.5,10.1,10.17,6000,0,0,17,2012,4
2012-04-18,10.15,10.35,10.04,10.07,59600,0,0,18,2012,4
2012-04-19,10.17,10.25,9.82,9.82,11000,0,0,19,2012,4
2012-04-20,10.16,10.16,9.84,9.89,16900,0,0,20,2012,4
2012-04-23,9.77,9.8,9.71,9.79,17800,0,0,23,2012,4
2012-04-24,9.78,9.95,9.78,9.95,3000,0,0,24,2012,4
2012-04-25,10.0,10.26,9.83,9.9,15300,0,0,25,2012,4
2012-04-26,9.9,9.99,9.65,9.9,13200,0,0,26,2012,4
2012-04-27,9.96,10.01,9.9,9.9,27000,0,0,27,2012,4
2012-04-30,9.83,10.4,9.23,10.38,70400,0,0,30,2012,4
2012-05-01,10.23,11.33,10.23,10.55,19000,0,0,01,2012,5
2012-05-02,10.55,10.72,10.22,10.72,4700,0,0,02,2012,5
2012-05-03,10.68,10.68,9.78,9.94,17800,0,0,03,2012,5
2012-05-04,9.94,10.6,9.1,9.49,9000,0,0,04,2012,5
2012-05-07,9.54,10.25,9.1,10.0,11900,0,0,07,2012,5
2012-05-08,9.97,10.19,9.85,9.99,14600,0,0,08,2012,5
2012-05-09,9.83,10.08,9.67,9.67,2700,0,0,09,2012,5
2012-05-10,9.8,10.2,9.62,9.88,4100,0,0,10,2012,5
2012-05-11,9.82,10.2,8.89,9.94,6700,0,0,11,2012,5
2012-05-14,9.52,10.02,9.36,9.53,7900,0,0,14,2012,5
2012-05-15,10.0,10.0,9.44,9.69,9300,0,0,15,2012,5
2012-05-16,10.0,10.0,9.39,9.72,5300,0,0,16,2012,5
2012-05-17,9.44,10.0,9.44,9.83,4700,0,0,17,2012,5
2012-05-18,9.79,10.0,9.41,9.73,13000,0,0,18,2012,5
2012-05-21,9.88,10.0,9.45,10.0,4800,0,0,21,2012,5
2012-05-22,9.97,10.0,9.43,9.58,4900,0,0,22,2012,5
2012-05-23,9.8,9.8,9.45,9.52,9600,0,0,23,2012,5
2012-05-24,9.52,9.89,9.25,9.53,5400,0,0,24,2012,5
2012-05-25,9.52,9.57,9.32,9.32,3400,0,0,25,2012,5
2012-05-29,9.5,9.5,9.5,9.5,1100,0,0,29,2012,5
2012-05-30,9.39,9.56,9.31,9.33,2700,0,0,30,2012,5
2012-05-31,9.49,10.7,9.49,10.04,38900,0,0,31,2012,5
2012-06-01,10.01,10.01,9.4,9.46,8600,0,0,01,2012,6
2012-06-04,9.51,10.62,9.51,9.86,1300,0,0,04,2012,6
2012-06-05,9.85,11.58,9.54,10.14,17100,0,0,05,2012,6
2012-06-06,9.66,10.75,9.5,10.52,25900,0,0,06,2012,6
2012-06-07,10.61,10.61,9.91,10.06,6900,0,0,07,2012,6
2012-06-08,9.7,10.69,9.7,10.07,4300,0,0,08,2012,6
2012-06-11,10.13,10.25,9.34,9.34,36200,0,0,11,2012,6
2012-06-12,9.48,9.94,9.35,9.89,12500,0,0,12,2012,6
2012-06-13,9.8,9.94,9.31,9.38,5200,0,0,13,2012,6
2012-06-14,9.32,10.44,9.32,10.44,3200,0,0,14,2012,6
2012-06-15,10.24,10.73,9.97,10.2,17800,0,0,15,2012,6
