Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,5.71,5.71,5.5,5.52,2400,0.0,0
2010-01-05,5.62,5.66,5.54,5.54,1300,0.0,0
2010-01-06,5.8,5.8,5.51,5.51,5800,0.0,0
2010-01-07,5.51,5.69,5.36,5.61,4900,0.0,0
2010-01-08,5.61,5.61,5.61,5.61,0,0.0,0
2010-01-11,5.43,5.43,5.43,5.43,100,0.0,0
2010-01-12,5.43,5.43,5.43,5.43,300,0.0,0
2010-01-13,5.44,5.61,5.44,5.61,2400,0.0,0
2010-01-14,5.61,6.05,5.57,5.96,13900,0.0,0
2010-01-15,5.65,5.99,5.65,5.94,800,0.0,0
2010-01-19,5.94,5.94,5.81,5.82,2500,0.0,0
2010-01-20,5.84,5.84,5.83,5.83,2100,0.0,0
2010-01-21,5.83,5.83,5.83,5.83,100,0.0,0
2010-01-22,5.81,5.83,5.67,5.67,3700,0.0,0
2010-01-25,5.66,5.74,5.62,5.64,5600,0.0,0
2010-01-26,5.62,5.68,5.62,5.68,200,0.0,0
2010-01-27,5.62,5.64,5.43,5.62,1800,0.0,0
2010-01-28,5.79,5.81,5.75,5.75,13500,0.0,0
2010-01-29,5.81,5.89,5.62,5.62,1900,0.0,0
2010-02-01,5.66,5.81,5.66,5.81,200,0.0,0
2010-02-02,5.81,5.85,5.8,5.81,1600,0.0,0
2010-02-03,5.88,5.9,5.88,5.89,2100,0.0,0
2010-02-04,5.74,6.01,5.63,6.01,8100,0.0,0
2010-02-05,5.78,5.97,5.78,5.93,1800,0.0,0
2010-02-08,5.74,6.0,5.74,5.94,600,0.0,0
2010-02-09,5.95,5.98,5.7,5.87,4600,0.0,0
2010-02-10,5.74,5.81,5.74,5.81,500,0.0,0
2010-02-11,5.81,5.81,5.81,5.81,700,0.0,0
2010-02-12,5.81,5.81,5.81,5.81,0,0.0,0
2010-02-16,5.81,5.96,5.78,5.85,5300,0.0,0
2010-02-17,6.01,6.01,5.74,5.85,1800,0.0,0
2010-02-18,5.64,5.88,5.64,5.85,900,0.0,0
2010-02-19,6.0,6.02,5.97,6.01,11500,0.0,0
2010-02-22,5.68,5.97,5.68,5.91,2700,0.0,0
2010-02-23,5.91,5.91,5.91,5.91,0,0.0,0
2010-02-24,5.91,5.91,5.91,5.91,0,0.0,0
2010-02-25,5.81,5.81,5.68,5.81,1700,0.0,0
2010-02-26,5.81,5.81,5.81,5.81,0,0.0,0
2010-03-01,5.67,5.78,5.67,5.78,1300,0.0,0
2010-03-02,5.81,5.89,5.74,5.74,4600,0.0,0
2010-03-03,5.74,5.89,5.62,5.8,6800,0.0,0
2010-03-04,5.8,5.8,5.8,5.8,0,0.0,0
2010-03-05,5.87,5.89,5.67,5.67,5500,0.0,0
2010-03-08,5.72,5.88,5.67,5.74,4500,0.0,0
2010-03-09,5.88,5.88,5.88,5.88,200,0.0,0
2010-03-10,5.88,5.89,5.78,5.78,2600,0.0,0
2010-03-11,5.78,5.78,5.77,5.77,200,0.0,0
2010-03-12,5.77,5.77,5.77,5.77,0,0.0,0
2010-03-15,5.76,5.93,5.67,5.71,3500,0.0,0
2010-03-16,5.71,5.71,5.71,5.71,0,0.0,0
2010-03-17,5.75,6.07,5.75,5.82,10100,0.07,0
2010-03-18,5.82,5.88,5.77,5.88,2700,0.0,0
2010-03-19,5.63,6.06,5.63,5.98,23100,0.0,0
2010-03-22,6.0,6.26,5.81,5.81,7900,0.0,0
2010-03-23,5.87,6.26,5.87,6.26,3300,0.0,0
2010-03-24,6.2,6.23,5.88,6.07,1700,0.0,0
2010-03-25,6.1,6.1,5.76,5.82,19500,0.0,0
2010-03-26,5.67,6.01,5.67,6.01,7200,0.0,0
2010-03-29,5.72,5.95,5.71,5.89,1700,0.0,0
2010-03-30,5.98,5.98,5.9,5.9,1900,0.0,0
2010-03-31,5.98,5.98,5.97,5.98,2100,0.0,0
2010-04-01,5.97,6.22,5.97,6.15,4600,0.0,0
2010-04-05,6.23,6.25,6.21,6.21,400,0.0,0
2010-04-06,6.25,6.26,6.21,6.21,800,0.0,0
2010-04-07,6.05,6.26,6.04,6.26,5700,0.0,0
2010-04-08,6.1,6.21,5.92,6.17,3900,0.0,0
2010-04-09,6.25,6.25,5.99,6.15,1700,0.0,0
2010-04-12,5.92,5.99,5.91,5.97,1800,0.0,0
2010-04-13,6.03,6.2,6.01,6.04,1900,0.0,0
2010-04-14,6.04,6.5,6.04,6.3,9000,0.0,0
2010-04-15,6.5,6.5,5.97,6.11,6500,0.0,0
2010-04-16,6.07,6.1,6.03,6.03,2400,0.0,0
2010-04-19,5.96,6.07,5.96,6.07,200,0.0,0
2010-04-20,5.98,6.07,5.89,6.03,1200,0.0,0
2010-04-21,6.25,6.26,6.16,6.16,2900,0.0,0
2010-04-22,6.07,6.1,6.07,6.1,2100,0.0,0
2010-04-23,6.2,6.25,6.1,6.1,2600,0.0,0
2010-04-26,6.07,6.17,6.07,6.12,7800,0.0,0
2010-04-27,6.1,6.1,6.07,6.07,900,0.0,0
2010-04-28,6.07,6.22,5.85,6.07,10900,0.0,0
2010-04-29,6.07,6.07,5.85,6.07,6600,0.0,0
2010-04-30,6.07,6.07,5.91,6.03,4000,0.0,0
2010-05-03,5.94,6.07,5.94,6.07,1600,0.0,0
2010-05-04,6.06,6.06,6.01,6.01,900,0.0,0
2010-05-05,5.87,5.95,5.87,5.95,1700,0.0,0
2010-05-06,5.98,5.98,5.94,5.94,3200,0.0,0
2010-05-07,5.88,5.88,5.69,5.77,5000,0.0,0
2010-05-10,5.81,6.14,5.62,5.62,2600,0.0,0
2010-05-11,5.73,6.14,5.67,5.67,2200,0.0,0
2010-05-12,5.96,5.98,5.75,5.87,2000,0.0,0
2010-05-13,5.87,5.87,5.87,5.87,0,0.0,0
2010-05-14,5.83,5.85,5.83,5.83,900,0.0,0
2010-05-17,5.91,5.91,5.75,5.75,1100,0.0,0
2010-05-18,5.83,5.96,5.83,5.96,3400,0.0,0
2010-05-19,5.96,5.98,5.56,5.79,15700,0.0,0
2010-05-20,5.67,5.79,5.6,5.79,5000,0.0,0
2010-05-21,5.67,5.71,5.67,5.71,5000,0.0,0
2010-05-24,5.78,5.98,5.67,5.87,1200,0.0,0
2010-05-25,5.72,5.86,5.72,5.72,3700,0.0,0
2010-05-26,5.89,5.98,5.87,5.98,400,0.0,0
2010-05-27,5.77,5.81,5.76,5.78,3900,0.0,0
2010-05-28,5.78,5.78,5.78,5.78,0,0.0,0
2010-06-01,5.69,5.73,5.64,5.67,116300,0.0,0
2010-06-02,5.71,5.94,5.69,5.71,600,0.0,0
2010-06-03,5.7,5.96,5.7,5.71,300,0.0,0
2010-06-04,5.52,5.67,5.52,5.67,500,0.0,0
2010-06-07,5.67,5.72,5.67,5.67,5900,0.0,0
2010-06-08,5.67,5.9,5.67,5.67,2100,0.0,0
2010-06-09,5.67,5.92,5.67,5.88,700,0.07,0
2010-06-10,5.81,5.81,5.67,5.71,4600,0.0,0
2010-06-11,5.61,5.69,5.61,5.63,3600,0.0,0
2010-06-14,5.63,5.63,5.63,5.63,0,0.0,0
2010-06-15,5.75,5.77,5.73,5.73,1800,0.0,0
2010-06-16,5.73,5.73,5.73,5.73,1200,0.0,0
2010-06-17,5.7,5.73,5.59,5.59,2800,0.0,0
2010-06-18,5.66,5.72,5.58,5.72,800,0.0,0
2010-06-21,5.62,5.85,5.62,5.69,400,0.0,0
2010-06-22,5.69,5.69,5.69,5.69,400,0.0,0
2010-06-23,5.79,5.8,5.69,5.73,5300,0.0,0
2010-06-24,5.73,5.73,5.73,5.73,0,0.0,0
2010-06-25,5.69,5.69,5.69,5.69,300,0.0,0
2010-06-28,5.53,5.75,5.53,5.6,3400,0.0,0
2010-06-29,5.61,5.68,5.55,5.67,3700,0.0,0
2010-06-30,5.73,5.73,5.68,5.68,1200,0.0,0
2010-07-01,5.59,5.59,5.59,5.59,100,0.0,0
2010-07-02,5.72,5.72,5.48,5.48,4500,0.0,0
2010-07-06,5.54,5.54,5.51,5.53,6700,0.0,0
2010-07-07,5.59,5.6,5.53,5.6,3200,0.0,0
2010-07-08,5.6,5.6,5.6,5.6,0,0.0,0
2010-07-09,5.6,5.6,5.6,5.6,0,0.0,0
2010-07-12,5.55,5.77,5.54,5.55,900,0.0,0
2010-07-13,5.59,5.6,5.57,5.6,1400,0.0,0
2010-07-14,5.65,5.85,5.65,5.77,1200,0.0,0
2010-07-15,5.65,5.82,5.65,5.65,500,0.0,0
2010-07-16,5.69,5.71,5.64,5.64,1600,0.0,0
2010-07-19,5.61,5.61,5.61,5.61,300,0.0,0
2010-07-20,5.61,5.61,5.61,5.61,0,0.0,0
2010-07-21,5.62,5.62,5.61,5.61,800,0.0,0
2010-07-22,5.61,5.61,5.6,5.61,600,0.0,0
2010-07-23,5.75,5.75,5.75,5.75,200,0.0,0
2010-07-26,5.56,5.65,5.56,5.65,200,0.0,0
2010-07-27,5.69,5.69,5.54,5.58,2100,0.0,0
2010-07-28,5.58,5.6,5.55,5.57,4200,0.0,0
2010-07-29,5.58,5.62,5.58,5.62,300,0.0,0
2010-07-30,5.61,5.75,5.48,5.48,1200,0.0,0
2010-08-02,5.59,5.75,5.53,5.69,7600,0.0,0
2010-08-03,5.69,5.69,5.69,5.69,300,0.0,0
2010-08-04,5.69,5.69,5.69,5.69,1800,0.0,0
2010-08-05,5.69,5.69,5.69,5.69,1400,0.0,0
2010-08-06,5.69,5.69,5.69,5.69,1000,0.0,0
2010-08-09,5.69,5.69,5.69,5.69,0,0.0,0
2010-08-10,5.64,5.64,5.64,5.64,200,0.0,0
2010-08-11,5.69,5.7,5.64,5.64,500,0.0,0
2010-08-12,5.69,5.85,5.69,5.84,500,0.0,0
2010-08-13,5.69,5.69,5.69,5.69,900,0.0,0
2010-08-16,5.93,5.93,5.73,5.79,3800,0.0,0
2010-08-17,5.79,5.79,5.79,5.79,0,0.0,0
2010-08-18,5.69,5.7,5.69,5.69,5200,0.0,0
2010-08-19,5.63,5.93,5.6,5.92,5200,0.0,0
2010-08-20,5.9,5.9,5.86,5.9,700,0.0,0
2010-08-23,5.54,5.74,5.54,5.6,4600,0.0,0
2010-08-24,5.68,5.69,5.54,5.54,26900,0.0,0
2010-08-25,5.52,5.52,5.41,5.45,2700,0.0,0
2010-08-26,5.46,5.69,5.45,5.45,5100,0.0,0
2010-08-27,5.39,5.47,5.39,5.43,1400,0.0,0
2010-08-30,5.43,5.43,5.43,5.43,0,0.0,0
2010-08-31,5.41,5.69,5.41,5.64,400,0.0,0
2010-09-01,5.53,5.61,5.53,5.61,800,0.0,0
2010-09-02,5.53,5.53,5.51,5.52,3200,0.0,0
2010-09-03,5.52,5.52,5.52,5.52,0,0.0,0
2010-09-07,5.51,5.92,5.49,5.49,1600,0.0,0
2010-09-08,5.51,5.71,5.51,5.71,400,0.07,0
2010-09-09,5.48,5.48,5.48,5.48,200,0.0,0
2010-09-10,5.71,5.71,5.67,5.67,36500,0.0,0
2010-09-13,5.52,5.75,5.51,5.75,5300,0.0,0
2010-09-14,5.87,5.98,5.55,5.75,1800,0.0,0
2010-09-15,5.79,5.84,5.79,5.79,3800,0.0,0
2010-09-16,5.79,5.79,5.79,5.79,0,0.0,0
2010-09-17,5.97,5.97,5.41,5.45,10000,0.0,0
2010-09-20,5.56,5.65,5.5,5.65,1600,0.0,0
2010-09-21,5.61,5.61,5.6,5.6,300,0.0,0
2010-09-22,5.62,5.85,5.6,5.83,1300,0.0,0
2010-09-23,5.83,5.83,5.83,5.83,0,0.0,0
2010-09-24,5.64,5.64,5.59,5.6,3700,0.0,0
2010-09-27,5.48,5.48,5.45,5.45,2400,0.0,0
2010-09-28,5.55,5.69,5.55,5.61,600,0.0,0
2010-09-29,5.44,5.49,5.27,5.27,7400,0.0,0
2010-09-30,5.4,5.6,5.39,5.52,3400,0.0,0
2010-10-01,5.43,5.5,5.43,5.5,800,0.0,0
2010-10-04,5.52,5.61,5.44,5.44,1000,0.0,0
2010-10-05,5.65,5.65,5.48,5.52,400,0.0,0
2010-10-06,5.52,5.57,5.52,5.57,400,0.0,0
2010-10-07,5.41,5.6,5.41,5.56,2400,0.0,0
2010-10-08,5.56,5.56,5.41,5.55,2500,0.0,0
2010-10-11,5.59,5.6,5.43,5.44,3200,0.0,0
2010-10-12,5.6,5.61,5.43,5.61,1200,0.0,0
2010-10-13,5.44,5.55,5.39,5.55,6300,0.0,0
2010-10-14,5.45,5.45,5.39,5.39,4500,0.0,0
2010-10-15,5.39,5.39,5.39,5.39,0,0.0,0
2010-10-18,5.35,5.43,5.23,5.42,4500,0.0,0
2010-10-19,5.41,5.42,5.41,5.42,400,0.0,0
2010-10-20,5.41,5.41,5.35,5.41,5600,0.0,0
2010-10-21,5.38,5.45,5.32,5.45,2100,0.0,0
2010-10-22,5.32,5.32,5.32,5.32,200,0.0,0
2010-10-25,5.46,5.6,5.22,5.27,6300,0.0,0
2010-10-26,5.29,5.58,5.29,5.52,4800,0.0,0
2010-10-27,5.52,5.52,5.52,5.52,0,0.0,0
2010-10-28,5.56,5.58,5.47,5.47,1200,0.0,0
2010-10-29,5.54,5.61,5.54,5.61,1400,0.0,0
2010-11-01,5.67,5.72,5.67,5.72,1100,0.0,0
2010-11-02,5.72,5.72,5.72,5.72,0,0.0,0
2010-11-03,5.6,5.63,5.6,5.63,400,0.0,0
2010-11-04,5.67,5.75,5.67,5.75,800,0.0,0
2010-11-05,5.64,5.76,5.63,5.76,1400,0.0,0
2010-11-08,5.74,5.77,5.74,5.77,200,0.0,0
2010-11-09,5.72,5.72,5.71,5.71,500,0.0,0
2010-11-10,5.63,5.74,5.63,5.74,1700,0.0,0
2010-11-11,5.61,5.74,5.61,5.73,800,0.0,0
2010-11-12,5.73,5.73,5.73,5.73,0,0.0,0
2010-11-15,5.73,5.73,5.73,5.73,0,0.0,0
2010-11-16,5.75,5.87,5.71,5.86,1000,0.0,0
2010-11-17,5.87,5.87,5.85,5.86,4300,0.0,0
2010-11-18,5.61,5.7,5.23,5.51,71600,0.0,0
2010-11-19,5.55,5.67,5.48,5.55,4100,0.0,0
2010-11-22,5.63,5.65,5.52,5.61,104300,0.0,0
2010-11-23,5.64,5.78,5.64,5.78,1100,0.0,0
2010-11-24,5.83,5.99,5.66,5.71,17400,0.0,0
2010-11-26,5.71,5.71,5.71,5.71,0,0.0,0
2010-11-29,5.71,5.71,5.71,5.71,0,0.0,0
2010-11-30,5.71,5.71,5.71,5.71,0,0.0,0
2010-12-01,5.71,5.71,5.71,5.71,0,0.0,0
2010-12-02,5.71,5.71,5.71,5.71,0,0.0,0
2010-12-03,5.59,5.85,5.59,5.85,5700,0.0,0
2010-12-06,5.92,5.92,5.59,5.63,2100,0.0,0
2010-12-07,5.62,5.71,5.59,5.71,6000,0.0,0
2010-12-08,5.64,5.78,5.64,5.77,700,0.07,0
2010-12-09,5.77,5.89,5.76,5.76,1900,0.0,0
2010-12-10,5.76,5.8,5.72,5.8,1400,0.0,0
2010-12-13,5.67,5.94,5.67,5.94,8200,0.0,0
2010-12-14,5.69,5.87,5.69,5.87,16400,0.0,0
2010-12-15,5.87,5.87,5.87,5.87,0,0.0,0
2010-12-16,5.87,5.87,5.87,5.87,0,0.0,0
2010-12-17,5.89,5.93,5.81,5.93,400,0.0,0
2010-12-20,5.95,6.01,5.77,5.97,11000,0.0,0
2010-12-21,6.02,6.05,6.02,6.04,6300,0.0,0
2010-12-22,6.05,6.45,6.05,6.09,2400,0.0,0
2010-12-23,6.2,6.37,6.09,6.18,6600,0.0,0
2010-12-27,6.26,6.26,6.1,6.17,1300,0.0,0
2010-12-28,6.18,6.45,6.05,6.24,3400,0.0,0
2010-12-29,6.37,6.37,6.09,6.24,500,0.0,0
2010-12-30,6.25,6.25,6.09,6.25,700,0.0,0
2010-12-31,6.22,6.33,6.09,6.32,3800,0.0,0
2011-01-03,6.32,6.32,6.32,6.32,0,0.0,0
2011-01-04,6.1,6.25,6.09,6.19,2000,0.0,0
2011-01-05,6.04,6.17,6.03,6.1,2800,0.0,0
2011-01-06,6.1,6.1,6.1,6.1,0,0.0,0
2011-01-07,6.05,6.13,6.05,6.12,15500,0.0,0
2011-01-10,6.2,6.2,5.95,6.01,24300,0.0,0
2011-01-11,5.95,6.08,5.93,5.98,15800,0.0,0
2011-01-12,6.21,6.21,6.06,6.2,2400,0.0,0
2011-01-13,6.05,6.45,5.93,6.41,22200,0.0,0
2011-01-14,6.55,6.57,6.18,6.43,8100,0.0,0
2011-01-18,6.56,6.56,6.37,6.37,3300,0.0,0
2011-01-19,6.05,6.34,6.05,6.24,2400,0.0,0
2011-01-20,6.24,6.24,6.24,6.24,0,0.0,0
2011-01-21,6.3,6.34,6.12,6.34,4700,0.0,0
2011-01-24,6.43,6.44,6.4,6.4,400,0.0,0
2011-01-25,6.25,6.34,6.25,6.34,1800,0.0,0
2011-01-26,6.42,6.44,6.14,6.41,3000,0.0,0
2011-01-27,6.43,6.43,6.23,6.33,1700,0.0,0
2011-01-28,6.33,6.33,6.33,6.33,0,0.0,0
2011-01-31,6.33,6.33,6.33,6.33,0,0.0,0
2011-02-01,6.14,6.43,6.13,6.43,6400,0.0,0
2011-02-02,6.43,6.43,6.43,6.43,0,0.0,0
2011-02-03,6.18,6.43,6.17,6.33,1900,0.0,0
2011-02-04,6.33,6.33,6.33,6.33,0,0.0,0
2011-02-07,6.15,6.2,6.13,6.18,1400,0.0,0
2011-02-08,6.18,6.18,6.18,6.18,0,0.0,0
2011-02-09,6.18,6.18,6.18,6.18,0,0.0,0
2011-02-10,6.19,6.32,6.14,6.15,4500,0.0,0
2011-02-11,6.13,6.14,6.13,6.14,500,0.0,0
2011-02-14,6.26,6.39,6.14,6.29,5900,0.0,0
2011-02-15,6.15,6.15,6.15,6.15,300,0.0,0
2011-02-16,6.13,6.3,6.13,6.29,900,0.0,0
2011-02-17,6.29,6.36,6.13,6.29,2600,0.0,0
2011-02-18,6.34,6.35,6.16,6.16,1300,0.0,0
2011-02-22,6.29,6.34,6.14,6.17,1300,0.0,0
2011-02-23,6.15,6.17,6.05,6.1,5200,0.0,0
2011-02-24,6.1,6.1,6.1,6.1,0,0.0,0
2011-02-25,5.97,6.3,5.97,6.19,3900,0.0,0
2011-02-28,6.33,6.33,6.05,6.05,1200,0.0,0
2011-03-01,6.1,6.43,6.1,6.19,5200,0.0,0
2011-03-02,6.05,6.06,5.97,6.05,4000,0.0,0
2011-03-03,6.1,6.17,6.01,6.08,2100,0.0,0
2011-03-04,6.0,6.18,6.0,6.03,1200,0.0,0
2011-03-07,6.03,6.03,6.03,6.03,0,0.0,0
2011-03-08,6.08,6.17,6.08,6.17,2200,0.0,0
2011-03-09,6.25,6.62,6.25,6.51,6400,0.0,0
2011-03-10,6.55,6.55,6.28,6.29,3600,0.0,0
2011-03-11,6.29,6.29,6.29,6.29,0,0.0,0
2011-03-14,6.51,6.51,6.41,6.41,300,0.0,0
2011-03-15,6.09,6.25,5.85,6.1,4300,0.0,0
2011-03-16,6.25,6.3,5.39,6.22,1400,0.07,0
2011-03-17,6.1,6.26,6.1,6.16,1700,0.0,0
2011-03-18,6.15,6.26,6.1,6.26,5200,0.0,0
2011-03-21,6.21,6.21,6.1,6.18,900,0.0,0
2011-03-22,6.18,6.18,6.18,6.18,0,0.0,0
2011-03-23,6.1,6.18,6.1,6.18,1100,0.0,0
2011-03-24,6.18,6.18,6.11,6.18,2600,0.0,0
2011-03-25,6.26,6.32,6.26,6.32,700,0.0,0
2011-03-28,6.1,6.1,6.1,6.1,9500,0.0,0
2011-03-29,6.1,6.35,6.1,6.31,1300,0.0,0
2011-03-30,6.31,6.31,6.22,6.23,2600,0.0,0
2011-03-31,6.23,6.51,6.23,6.35,4300,0.0,0
2011-04-01,6.11,6.18,6.11,6.18,500,0.0,0
2011-04-04,6.27,6.44,6.18,6.18,4400,0.0,0
2011-04-05,6.25,6.25,6.18,6.18,2200,0.0,0
2011-04-06,6.19,6.27,6.12,6.27,5400,0.0,0
2011-04-07,6.27,6.35,6.26,6.31,5300,0.0,0
2011-04-08,6.31,6.31,6.31,6.31,0,0.0,0
2011-04-11,6.25,6.26,6.25,6.26,500,0.0,0
2011-04-12,6.27,6.3,6.23,6.26,7200,0.0,0
2011-04-13,6.26,6.27,6.18,6.27,8100,0.0,0
2011-04-14,6.11,6.27,6.11,6.27,400,0.0,0
2011-04-15,6.23,6.27,6.23,6.27,2200,0.0,0
2011-04-18,6.27,6.27,6.23,6.23,2600,0.0,0
2011-04-19,6.27,6.28,6.13,6.28,1800,0.0,0
2011-04-20,6.27,6.27,6.27,6.27,500,0.0,0
2011-04-21,6.27,6.27,6.25,6.25,2700,0.0,0
2011-04-25,6.25,6.25,6.25,6.25,0,0.0,0
2011-04-26,6.28,6.51,6.28,6.39,6000,0.0,0
2011-04-27,6.39,6.39,6.39,6.39,0,0.0,0
2011-04-28,6.31,6.32,6.31,6.31,1300,0.0,0
2011-04-29,6.34,6.34,6.34,6.34,100,0.0,0
2011-05-02,6.34,6.34,6.34,6.34,0,0.0,0
2011-05-03,6.49,6.49,6.49,6.49,300,0.0,0
2011-05-04,6.48,6.51,6.48,6.51,200,0.0,0
2011-05-05,6.35,6.35,6.31,6.31,1100,0.0,0
2011-05-06,6.49,6.49,6.29,6.29,1100,0.0,0
2011-05-09,6.4,6.44,6.25,6.44,3700,0.0,0
2011-05-10,6.44,6.44,6.44,6.44,0,0.0,0
2011-05-11,6.5,6.5,6.5,6.5,100,0.0,0
2011-05-12,6.35,6.35,6.27,6.27,3000,0.0,0
2011-05-13,6.27,6.31,6.23,6.31,6800,0.0,0
2011-05-16,6.35,6.35,6.27,6.34,15300,0.0,0
2011-05-17,6.35,6.51,6.33,6.51,4900,0.0,0
2011-05-18,6.44,6.52,6.44,6.51,8900,0.0,0
2011-05-19,6.51,6.68,6.51,6.68,3000,0.0,0
2011-05-20,6.55,6.55,6.55,6.55,300,0.0,0
2011-05-23,6.53,6.71,6.43,6.53,3600,0.0,0
2011-05-24,6.53,6.53,6.53,6.53,0,0.0,0
2011-05-25,6.55,6.58,6.54,6.58,4200,0.0,0
2011-05-26,6.58,6.58,6.58,6.58,0,0.0,0
2011-05-27,6.48,6.55,6.48,6.53,2700,0.0,0
2011-05-31,6.54,6.59,6.54,6.59,800,0.0,0
2011-06-01,6.52,6.52,6.51,6.51,4200,0.0,0
2011-06-02,6.53,6.59,6.53,6.56,800,0.0,0
2011-06-03,6.57,6.59,6.47,6.54,900,0.0,0
2011-06-06,6.58,6.71,6.45,6.51,5800,0.0,0
2011-06-07,6.66,6.66,6.42,6.42,600,0.0,0
2011-06-08,6.45,6.77,6.41,6.41,1400,0.07,0
2011-06-09,6.51,6.64,6.49,6.49,700,0.0,0
2011-06-10,6.43,6.64,6.39,6.54,1300,0.0,0
2011-06-13,6.49,6.56,6.4,6.49,2500,0.0,0
2011-06-14,6.47,6.47,6.47,6.47,1000,0.0,0
2011-06-15,6.21,6.51,6.21,6.51,200,0.0,0
2011-06-16,6.51,6.51,6.51,6.51,0,0.0,0
2011-06-17,6.25,6.47,6.17,6.45,5100,0.0,0
2011-06-20,6.4,6.4,6.25,6.4,1200,0.0,0
2011-06-21,6.43,6.45,6.22,6.4,6900,0.0,0
2011-06-22,6.17,6.44,6.15,6.36,10700,0.0,0
2011-06-23,6.45,6.45,6.29,6.33,2800,0.0,0
2011-06-24,6.02,6.39,6.02,6.27,7700,0.0,0
2011-06-27,6.35,6.57,6.35,6.36,4300,0.0,0
2011-06-28,6.6,6.6,6.37,6.45,3600,0.0,0
2011-06-29,6.53,6.68,6.53,6.63,2600,0.0,0
2011-06-30,6.67,6.72,6.59,6.72,6500,0.0,0
2011-07-01,6.73,6.81,6.73,6.81,1500,0.0,0
2011-07-05,6.87,7.49,6.87,7.25,13400,0.0,0
2011-07-06,7.13,7.39,7.13,7.35,4200,0.0,0
2011-07-07,7.49,7.49,7.25,7.39,7200,0.0,0
2011-07-08,7.23,7.39,7.23,7.32,800,0.0,0
2011-07-11,7.32,7.32,6.9,7.06,4500,0.0,0
2011-07-12,7.05,7.35,7.05,7.09,4400,0.0,0
2011-07-13,7.27,7.27,6.98,7.14,7800,0.0,0
2011-07-14,7.31,7.31,7.01,7.08,5100,0.0,0
2011-07-15,7.44,7.44,6.98,7.1,3300,0.0,0
2011-07-18,6.98,7.1,6.9,7.1,16600,0.0,0
2011-07-19,6.98,7.1,6.9,7.0,14200,0.0,0
2011-07-20,7.0,7.0,7.0,7.0,0,0.0,0
2011-07-21,7.06,7.06,7.02,7.02,1100,0.0,0
2011-07-22,7.03,7.03,7.03,7.03,7900,0.0,0
2011-07-25,7.03,7.03,7.03,7.03,0,0.0,0
2011-07-26,6.95,7.01,6.92,6.92,20300,0.0,0
2011-07-27,7.03,7.08,6.72,6.72,20000,0.0,0
2011-07-28,6.72,6.9,6.68,6.68,5200,0.0,0
2011-07-29,6.56,6.87,6.49,6.49,2000,0.0,0
2011-08-01,6.67,6.72,6.4,6.72,4600,0.0,0
