Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-18,27.0,27.0,18.76,19.14,542900,0,0
2016-04-19,18.88,19.11,17.27,17.5,1344000,0,0
2016-04-20,17.06,17.68,17.0,17.28,978300,0,0
2016-04-21,17.05,17.6,16.93,17.52,660600,0,0
2016-04-22,17.51,17.65,16.94,16.95,383700,0,0
2016-04-25,16.71,16.8,15.28,15.32,845600,0,0
2016-04-26,15.07,15.2,14.25,14.4,1505900,0,0
2016-04-27,14.02,14.42,13.51,14.11,696900,0,0
2016-04-28,13.84,15.18,13.84,14.91,585200,0,0
2016-04-29,14.44,15.06,14.44,14.92,339200,0,0
2016-05-02,15.12,15.18,14.64,15.03,217400,0,0
2016-05-03,14.9,15.9,14.83,15.46,1045200,0,0
2016-05-04,15.12,15.62,15.12,15.4,1044000,0,0
2016-05-05,15.43,15.57,15.02,15.3,2683400,0,0
2016-05-06,15.14,15.51,15.08,15.5,491600,0,0
2016-05-09,15.32,16.0,15.32,15.86,491500,0,0
2016-05-10,15.83,16.42,15.69,16.2,423600,0,0
2016-05-11,16.11,16.4,15.91,16.33,1514500,0,0
2016-05-12,16.33,16.35,16.03,16.22,294000,0,0
2016-05-13,16.12,16.69,16.01,16.53,404700,0,0
2016-05-16,16.28,16.97,16.21,16.85,243800,0,0
2016-05-17,16.9,17.14,16.72,16.9,543800,0,0
2016-05-18,16.83,17.06,16.13,16.95,1458800,0,0
2016-05-19,15.75,15.9,15.39,15.74,700600,0,0
2016-05-20,15.65,15.83,15.21,15.29,391600,0,0
2016-05-23,15.3,15.38,15.09,15.24,265600,0,0
2016-05-24,15.37,15.39,15.22,15.34,302100,0,0
2016-05-25,15.44,15.5,15.27,15.34,1047900,0,0
2016-05-26,15.33,15.4,15.08,15.13,534700,0,0
2016-05-27,15.1,15.17,14.99,15.05,610000,0,0
2016-05-31,15.1,15.24,14.88,15.0,748400,0,0
2016-06-01,15.01,15.21,14.89,15.11,594100,0,0
2016-06-02,15.12,15.21,14.94,15.14,566600,0,0
2016-06-03,15.07,15.11,14.85,14.93,465600,0,0
2016-06-06,14.91,15.07,14.81,14.84,527300,0,0
2016-06-07,14.82,14.86,14.58,14.81,380700,0,0
2016-06-08,14.78,14.99,14.75,14.9,307800,0,0
2016-06-09,14.84,14.98,14.77,14.88,484900,0,0
2016-06-10,14.76,15.0,14.48,14.93,1164300,0,0
2016-06-13,14.94,14.97,14.47,14.5,366600,0,0
2016-06-14,14.51,14.55,14.28,14.37,397800,0,0
2016-06-15,14.38,14.76,14.31,14.7,557700,0,0
2016-06-16,14.69,15.34,14.64,15.16,765100,0,0
2016-06-17,15.2,15.2,14.79,14.8,1113800,0,0
2016-06-20,14.87,15.15,14.87,15.0,410500,0,0
2016-06-21,15.04,15.21,14.91,15.15,670500,0,0
2016-06-22,15.15,15.73,15.15,15.58,728800,0,0
2016-06-23,15.63,15.91,15.45,15.59,398600,0,0
2016-06-24,15.17,15.73,15.1,15.13,3311400,0,0
2016-06-27,15.01,15.01,14.33,14.35,404700,0,0
2016-06-28,14.53,14.74,13.92,14.03,804700,0,0
2016-06-29,14.18,14.4,13.93,14.03,690500,0,0
2016-06-30,14.0,14.67,14.0,14.66,791900,0,0
2016-07-01,14.71,15.02,14.63,14.95,273100,0,0
2016-07-05,14.96,14.98,14.73,14.82,185600,0,0
2016-07-06,14.5,15.03,14.45,14.52,376600,0,0
2016-07-07,14.47,14.79,14.42,14.64,440900,0,0
2016-07-08,14.74,15.07,14.7,14.87,502900,0,0
2016-07-11,14.94,15.51,14.94,15.45,1024300,0,0
2016-07-12,15.43,15.73,15.42,15.48,298700,0,0
2016-07-13,15.52,15.56,15.28,15.33,248200,0,0
2016-07-14,15.42,15.52,15.24,15.46,219000,0,0
2016-07-15,15.57,15.57,15.32,15.47,229900,0,0
2016-07-18,15.49,15.56,15.31,15.47,141400,0,0
2016-07-19,15.48,15.62,15.37,15.5,188400,0,0
2016-07-20,15.51,15.62,15.42,15.58,263100,0,0
2016-07-21,15.54,15.67,15.46,15.62,154200,0,0
2016-07-22,15.58,15.87,15.51,15.71,576400,0,0
2016-07-25,15.64,15.95,15.5,15.71,937900,0,0
2016-07-26,15.76,16.0,15.76,15.84,209600,0,0
2016-07-27,15.89,16.15,15.83,15.99,415500,0,0
2016-07-28,16.05,16.09,15.89,16.05,158200,0,0
2016-07-29,16.03,16.09,15.82,15.98,325700,0,0
2016-08-01,15.99,16.1,15.9,16.04,224800,0,0
2016-08-02,16.06,16.11,15.7,15.78,126100,0,0
2016-08-03,15.91,15.99,15.77,15.79,77800,0,0
2016-08-04,15.74,15.84,15.51,15.66,254100,0,0
2016-08-05,15.73,15.86,15.56,15.61,103100,0,0
2016-08-08,15.67,15.83,15.52,15.58,87900,0,0
2016-08-09,15.58,15.7,15.21,15.51,226100,0,0
2016-08-10,15.57,15.96,15.44,15.92,258400,0,0
2016-08-11,15.93,16.18,15.92,16.03,151400,0,0
