Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-19,40.35,41.44,36.03,37.55,22025800,0,0
2019-09-20,38.59,39.2,36.15,36.15,3322600,0,0
2019-09-23,36.58,38.15,35.75,36.11,2237300,0,0
2019-09-24,36.01,37.12,34.06,34.5,3175000,0,0
2019-09-25,34.6,35.6,34.2,35.25,3026600,0,0
2019-09-26,36.0,36.29,32.3,32.44,2658200,0,0
2019-09-27,33.0,33.51,30.47,32.27,2475900,0,0
2019-09-30,32.64,34.2,32.0,33.91,1385000,0,0
2019-10-01,34.25,34.48,31.25,32.39,1291300,0,0
2019-10-02,31.65,31.9,30.01,31.1,1877200,0,0
2019-10-03,31.18,34.8,30.5,32.89,2437800,0,0
2019-10-04,33.05,35.08,32.8,34.72,918700,0,0
2019-10-07,34.9,37.97,34.4,36.81,1983800,0,0
2019-10-08,36.5,36.7,34.92,35.45,1217000,0,0
2019-10-09,35.85,37.49,35.61,36.75,1166800,0,0
2019-10-10,36.75,37.35,35.15,35.6,1348600,0,0
2019-10-11,35.93,36.48,35.37,35.67,2168600,0,0
2019-10-14,35.65,36.25,32.95,33.09,2194800,0,0
2019-10-15,33.17,34.85,32.51,34.8,1473000,0,0
2019-10-16,33.56,33.77,31.9,32.2,1987700,0,0
2019-10-17,32.3,34.16,32.3,33.96,1488800,0,0
2019-10-18,33.84,33.88,31.46,31.57,1305000,0,0
2019-10-21,31.9,32.1,29.7,30.01,1981500,0,0
2019-10-22,30.05,30.31,28.01,28.04,1964400,0,0
2019-10-23,27.9,29.25,27.55,28.76,2779600,0,0
2019-10-24,29.16,33.46,29.15,32.5,3813400,0,0
2019-10-25,32.86,34.5,32.4,34.3,2117700,0,0
2019-10-28,35.0,35.44,33.11,33.28,1906100,0,0
2019-10-29,33.19,34.08,32.6,33.65,716700,0,0
2019-10-30,33.79,34.87,33.38,34.81,919700,0,0
2019-10-31,34.82,34.99,33.12,33.59,965200,0,0
2019-11-01,33.7,34.48,33.63,34.02,803900,0,0
2019-11-04,34.53,34.87,33.36,34.44,865500,0,0
2019-11-05,34.5,35.25,33.21,34.91,1021100,0,0
2019-11-06,34.56,34.76,32.89,33.06,1257800,0,0
2019-11-07,33.3,33.74,31.0,31.29,1016600,0,0
2019-11-08,31.11,32.83,30.26,32.81,931700,0,0
2019-11-11,32.76,34.0,32.36,33.55,1665000,0,0
2019-11-12,33.81,35.2,33.8,34.4,3258700,0,0
2019-11-13,38.82,41.92,38.25,40.19,10597600,0,0
2019-11-14,40.18,41.72,39.38,41.37,2564300,0,0
2019-11-15,41.75,42.96,40.43,40.63,2117200,0,0
2019-11-18,40.72,41.48,39.75,40.32,1151500,0,0
2019-11-19,40.45,40.88,37.53,39.15,1890800,0,0
2019-11-20,38.83,39.94,37.6,38.4,1158000,0,0
2019-11-21,38.24,40.17,38.18,40.03,1410300,0,0
2019-11-22,41.35,42.7,39.71,41.04,2671100,0,0
2019-11-25,41.5,44.09,41.47,42.81,2295000,0,0
2019-11-26,43.1,43.7,39.81,40.55,1779400,0,0
2019-11-27,40.8,42.2,39.72,41.86,1278500,0,0
2019-11-29,41.82,42.2,40.56,40.77,574800,0,0
2019-12-02,41.11,41.32,37.84,39.6,2047900,0,0
2019-12-03,37.58,38.72,37.5,37.77,2118900,0,0
2019-12-04,38.0,38.25,36.09,36.92,1662400,0,0
2019-12-05,36.83,36.83,35.81,35.86,2028400,0,0
2019-12-06,35.93,36.33,35.6,35.91,2864400,0,0
2019-12-09,34.63,36.04,34.1,35.16,3169400,0,0
2019-12-10,34.33,36.25,34.26,34.81,5370700,0,0
2019-12-11,34.81,35.68,33.06,35.55,3372400,0,0
2019-12-12,35.45,36.61,35.14,35.73,2062800,0,0
2019-12-13,36.2,39.13,36.01,38.79,4404000,0,0
2019-12-16,38.91,39.02,37.13,38.79,2943600,0,0
2019-12-17,37.86,38.24,36.02,37.18,5174100,0,0
2019-12-18,37.66,38.75,36.81,38.21,3146200,0,0
2019-12-19,37.51,38.44,37.5,38.1,1524500,0,0
2019-12-20,37.71,38.87,37.6,38.51,3420600,0,0
2019-12-23,38.85,39.64,37.41,37.8,2284100,0,0
2019-12-24,37.72,37.8,36.62,37.09,783600,0,0
2019-12-26,37.3,38.2,37.0,37.96,1378000,0,0
2019-12-27,37.9,37.95,35.61,36.11,3473000,0,0
2019-12-30,36.72,37.2,35.4,37.13,1611100,0,0
2019-12-31,36.9,37.95,36.77,37.78,1460200,0,0
