Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,5.45,5.45,5.36,5.36,800,0.0,0
2010-01-05,5.31,5.31,5.31,5.31,2500,0.0,0
2010-01-06,5.31,5.31,5.31,5.31,2500,0.0,0
2010-01-07,5.08,5.08,5.08,5.08,500,0.0,0
2010-01-08,5.31,5.31,5.08,5.08,6100,0.0,0
2010-01-11,5.31,5.31,5.31,5.31,1000,0.0,0
2010-01-12,5.31,5.31,5.31,5.31,0,0.0,0
2010-01-13,5.22,5.22,5.22,5.22,1000,0.0,0
2010-01-14,5.22,5.22,5.22,5.22,500,0.0,0
2010-01-15,5.22,5.22,5.22,5.22,0,0.0,0
2010-01-19,5.08,5.08,4.85,4.85,3100,0.0,0
2010-01-20,4.85,4.85,4.85,4.85,0,0.0,0
2010-01-21,4.85,4.85,4.85,4.85,300,0.0,0
2010-01-22,5.22,5.22,5.08,5.08,1600,0.0,0
2010-01-25,5.08,5.22,5.08,5.22,4000,0.0,0
2010-01-26,5.22,5.22,5.22,5.22,0,0.0,0
2010-01-27,5.22,5.22,4.85,4.85,4500,0.0,0
2010-01-28,5.08,5.08,4.62,4.62,1600,0.0,0
2010-01-29,4.76,4.85,4.76,4.85,400,0.0,0
2010-02-01,4.73,4.85,4.73,4.85,800,0.0,0
2010-02-02,4.85,4.85,4.62,4.67,2400,0.0,0
2010-02-03,4.85,4.85,4.62,4.62,3100,0.0,0
2010-02-04,4.62,4.62,4.53,4.62,2700,0.0,0
2010-02-05,4.62,4.62,4.62,4.62,0,0.0,0
2010-02-08,4.62,4.62,4.62,4.62,400,0.0,0
2010-02-09,4.62,4.62,4.62,4.62,0,0.0,0
2010-02-10,4.81,4.81,4.81,4.81,200,0.0,0
2010-02-11,4.81,5.21,4.44,4.63,6700,0.0,0
2010-02-12,4.35,4.99,4.35,4.61,1000,0.0,0
2010-02-16,4.61,4.61,4.61,4.61,0,0.0,0
2010-02-17,4.39,4.99,4.39,4.67,2400,0.0,0
2010-02-18,4.67,4.67,4.62,4.62,2200,0.0,0
2010-02-19,5.17,5.17,4.9,5.17,4100,0.0,0
2010-02-22,5.21,5.21,4.39,4.39,4300,0.0,0
2010-02-23,5.07,5.21,4.44,4.44,8000,0.0,0
2010-02-24,4.71,4.71,4.71,4.71,3500,0.0,0
2010-02-25,4.27,5.04,4.27,4.71,2000,0.0,0
2010-02-26,4.85,4.85,4.57,4.57,3200,0.0,0
2010-03-01,4.57,5.08,4.57,5.08,2100,0.0,0
2010-03-02,4.71,4.71,4.71,4.71,1000,0.0,0
2010-03-03,4.85,4.85,4.39,4.39,5300,0.0,0
2010-03-04,4.48,4.48,4.17,4.17,5200,0.0,0
2010-03-05,4.76,4.76,4.17,4.17,2800,0.0,0
2010-03-08,4.62,4.62,4.25,4.62,7000,0.0,0
2010-03-09,4.62,5.08,4.62,5.08,7100,0.0,0
2010-03-10,4.62,4.85,4.62,4.85,1900,0.0,0
