Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-07,43.23,43.23,43.23,43.23,225.0,0.0,0
2015-01-21,43.29,43.29,43.29,43.29,100.0,0.0,0
2015-01-22,43.5,43.5,43.5,43.5,325.0,0.0,0
2015-01-27,41.92,41.92,41.66,41.66,450.0,0.0,0
2015-01-29,43.23,43.23,43.23,43.23,100.0,0.0,0
2015-02-20,43.23,43.23,43.23,43.23,25.0,0.0,0
2015-02-26,42.69,42.69,42.69,42.69,200.0,0.0,0
2015-03-09,42.25,42.25,42.25,42.25,507.0,0.0,0
2015-03-11,,,,,,0.875,0
2015-03-13,42.94,43.08,42.94,43.08,250.0,0.0,0
2015-03-17,42.06,42.06,42.06,42.06,254.0,0.0,0
2015-03-26,41.65,41.65,41.64,41.64,250.0,0.0,0
2015-04-09,41.77,41.77,41.77,41.77,125.0,0.0,0
2015-04-10,41.64,41.64,41.64,41.64,200.0,0.0,0
2015-04-14,43.33,43.33,43.33,43.33,227.0,0.0,0
2015-04-15,43.09,43.09,43.09,43.09,200.0,0.0,0
2015-04-17,43.09,43.09,43.09,43.09,109.0,0.0,0
2015-04-20,42.47,42.47,42.47,42.47,100.0,0.0,0
2015-04-22,43.46,43.46,43.46,43.46,327.0,0.0,0
2015-04-23,43.29,43.29,43.29,43.29,130.0,0.0,0
2015-04-24,43.29,43.29,43.29,43.29,580.0,0.0,0
2015-04-29,45.26,45.26,45.26,45.26,200.0,0.0,0
2015-04-30,44.32,44.32,43.29,43.29,750.0,0.0,0
2015-05-01,44.82,45.27,44.82,45.27,400.0,0.0,0
2015-05-05,46.86,46.86,46.86,46.86,100.0,0.0,0
2015-05-06,44.32,44.32,44.32,44.32,100.0,0.0,0
2015-05-12,45.35,45.35,44.74,45.34,1500.0,0.0,0
2015-05-13,45.35,45.35,45.3,45.34,545.0,0.0,0
2015-05-14,45.34,45.34,45.34,45.34,150.0,0.0,0
2015-05-19,45.34,49.48,45.34,48.65,1104.0,0.0,0
2015-05-20,50.3,50.3,50.3,50.3,368.0,0.0,0
2015-05-21,49.97,49.97,49.97,49.97,225.0,0.0,0
2015-05-22,47.73,47.73,47.02,47.02,200.0,0.0,0
2015-05-26,50.1,50.1,46.03,46.03,500.0,0.0,0
2015-05-27,46.38,46.38,46.38,46.38,290.0,0.0,0
2015-06-03,46.18,46.18,46.18,46.18,100.0,0.0,0
2015-06-04,46.18,46.18,46.18,46.18,450.0,0.0,0
2015-06-11,,,,,,0.875,0
2015-06-12,46.22,46.22,46.18,46.18,250.0,0.0,0
2015-06-17,46.18,46.18,46.18,46.18,100.0,0.0,0
2015-06-19,46.18,46.18,46.18,46.18,185.0,0.0,0
2015-06-22,47.41,47.42,47.41,47.42,1850.0,0.0,0
2015-06-23,45.75,45.75,44.99,44.99,720.0,0.0,0
2015-06-29,47.2,49.68,47.2,49.68,1070.0,0.0,0
2015-06-30,50.3,50.3,47.83,47.84,750.0,0.0,0
2015-07-06,48.07,48.07,48.07,48.07,551.0,0.0,0
2015-07-09,49.76,50.3,49.76,50.26,400.0,0.0,0
2015-07-13,49.89,50.3,49.89,50.3,470.0,0.0,0
2015-07-14,48.23,48.23,48.23,48.23,300.0,0.0,0
2015-07-16,49.89,49.89,49.86,49.86,200.0,0.0,0
2015-07-24,47.62,47.62,47.59,47.59,400.0,0.0,0
2015-07-27,48.65,48.65,48.65,48.65,100.0,0.0,0
2015-07-31,48.24,48.45,48.24,48.24,1071.0,0.0,0
2015-08-03,48.65,48.65,48.65,48.65,600.0,0.0,0
2015-08-04,48.64,48.64,48.61,48.61,250.0,0.0,0
2015-08-07,48.65,48.65,48.65,48.65,150.0,0.0,0
2015-08-10,48.65,49.39,48.65,49.06,430.0,0.0,0
2015-08-12,49.06,49.06,49.06,49.06,900.0,0.0,0
2015-08-13,49.08,49.08,49.06,49.06,400.0,0.0,0
2015-08-14,49.48,49.48,49.48,49.48,125.0,0.0,0
2015-08-17,49.48,49.48,49.48,49.48,100.0,0.0,0
2015-08-19,49.06,49.06,46.63,46.63,370.0,0.0,0
2015-08-20,48.27,49.33,47.67,47.67,1011.0,0.0,0
2015-08-27,49.34,49.39,49.34,49.39,500.0,0.0,0
2015-09-03,49.39,49.39,49.39,49.39,100.0,0.0,0
2015-09-04,49.39,49.39,49.39,49.39,300.0,0.0,0
2015-09-08,49.48,49.48,49.39,49.39,300.0,0.0,0
2015-09-11,49.23,49.23,49.23,49.23,150.0,0.875,0
2015-09-22,48.57,49.19,46.76,47.83,1275.0,0.0,0
2015-09-23,49.19,49.23,49.19,49.23,590.0,0.0,0
2015-09-25,48.24,48.24,48.24,48.24,200.0,0.0,0
2015-09-29,47.42,47.42,47.42,47.42,450.0,0.0,0
2015-10-05,47.81,47.88,45.83,47.75,1301.0,0.0,0
2015-10-06,48.48,48.49,48.48,48.49,200.0,0.0,0
2015-10-07,48.49,48.49,48.49,48.49,100.0,0.0,0
2015-10-13,46.59,47.75,45.35,46.18,1669.0,0.0,0
2015-10-14,47.8,47.8,47.8,47.8,150.0,0.0,0
2015-10-21,48.49,48.49,48.49,48.49,500.0,0.0,0
2015-10-23,48.49,48.49,48.49,48.49,200.0,0.0,0
2015-11-05,48.24,48.24,47.57,47.66,809.0,0.0,0
2015-11-24,48.49,48.49,48.49,48.49,397.0,0.0,0
2015-11-27,47.42,47.49,47.42,47.49,200.0,0.0,0
2015-12-01,46.23,47.04,46.18,47.04,1350.0,0.0,0
2015-12-03,46.39,48.26,46.39,48.26,405.0,0.0,0
2015-12-04,48.45,48.45,47.5,47.5,200.0,0.0,0
2015-12-11,45.69,47.17,45.69,46.96,1088.0,0.875,0
2015-12-15,45.68,45.68,45.68,45.68,310.0,0.0,0
2015-12-22,45.19,45.61,45.19,45.61,1262.0,0.0,0
2015-12-31,45.56,45.56,45.56,45.56,100.0,0.0,0
2016-01-05,45.52,45.52,45.52,45.52,182.0,0.0,0
2016-01-06,45.41,45.41,45.35,45.35,350.0,0.0,0
2016-01-08,44.15,44.15,43.7,43.7,500.0,0.0,0
2016-01-11,42.51,42.51,42.51,42.51,150.0,0.0,0
2016-01-13,42.06,42.06,42.06,42.06,550.0,0.0,0
2016-01-15,42.88,42.88,42.88,42.88,150.0,0.0,0
2016-01-20,42.8,42.8,42.8,42.8,250.0,0.0,0
2016-01-25,43.08,43.13,43.08,43.09,400.0,0.0,0
2016-01-27,44.6,45.52,44.6,45.52,457.0,0.0,0
2016-02-01,45.52,45.52,45.52,45.52,200.0,0.0,0
2016-02-03,44.77,44.77,44.77,44.77,100.0,0.0,0
2016-02-04,45.52,46.87,44.8,46.2,1175.0,0.0,0
2016-02-05,45.6,45.6,45.6,45.6,161.0,0.0,0
2016-02-08,47.21,47.83,47.21,47.83,590.0,0.0,0
2016-02-10,49.51,49.51,49.51,49.51,100.0,0.0,0
2016-02-12,49.55,49.56,49.55,49.56,245.0,0.0,0
2016-02-19,47.83,47.83,47.82,47.82,200.0,0.0,0
2016-03-04,49.11,49.11,49.11,49.11,200.0,0.0,0
2016-03-11,,,,,,0.875,0
2016-03-14,49.44,49.44,49.44,49.44,200.0,0.0,0
2016-03-17,48.24,48.24,48.24,48.24,200.0,0.0,0
2016-03-22,48.24,48.24,48.09,48.2,500.0,0.0,0
2016-03-23,46.18,46.18,46.18,46.18,700.0,0.0,0
