Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,9.21,9.3,9.03,9.07,925800,0.0,0
2010-01-05,9.05,9.12,8.52,8.71,2150700,0.0,0
2010-01-06,8.72,8.75,8.62,8.69,843800,0.0,0
2010-01-07,8.69,8.98,8.62,8.89,701100,0.0,0
2010-01-08,8.83,9.06,8.78,9.0,557700,0.0,0
2010-01-11,9.03,9.06,8.87,8.93,347100,0.0,0
2010-01-12,8.82,9.0,8.81,8.87,496900,0.0,0
2010-01-13,8.7,8.7,8.39,8.44,2380900,0.0,0
2010-01-14,8.44,8.77,8.39,8.69,1180500,0.0,0
2010-01-15,8.66,8.81,8.42,8.79,926500,0.0,0
2010-01-19,8.78,8.96,8.72,8.92,704100,0.0,0
2010-01-20,8.86,9.05,8.5,8.88,752200,0.0,0
2010-01-21,8.89,9.36,8.86,9.26,1575400,0.0,0
2010-01-22,9.22,9.49,9.15,9.26,923800,0.0,0
2010-01-25,9.34,9.39,9.01,9.23,378200,0.0,0
2010-01-26,9.17,9.4,8.92,8.94,650200,0.0,0
2010-01-27,8.89,9.33,8.84,9.31,695000,0.0,0
2010-01-28,9.4,9.56,9.04,9.12,496300,0.0,0
2010-01-29,9.16,9.25,8.88,8.88,968100,0.0,0
2010-02-01,8.98,9.01,8.59,8.73,689800,0.0,0
2010-02-02,8.71,8.78,8.61,8.67,1138400,0.0,0
2010-02-03,8.64,8.72,8.36,8.4,1048900,0.0,0
2010-02-04,8.35,8.36,8.02,8.16,1178700,0.0,0
2010-02-05,8.21,8.52,8.08,8.36,869900,0.0,0
2010-02-08,8.38,8.38,8.11,8.12,468700,0.0,0
2010-02-09,8.22,8.3,8.14,8.16,596000,0.0,0
2010-02-10,8.12,8.35,8.11,8.31,429700,0.0,0
2010-02-11,8.28,8.31,8.11,8.24,568300,0.0,0
2010-02-12,8.15,8.26,8.08,8.22,678300,0.0,0
2010-02-16,8.27,8.41,8.17,8.41,354800,0.0,0
2010-02-17,8.46,8.46,8.24,8.33,253100,0.0,0
2010-02-18,8.34,8.43,8.32,8.43,206000,0.0,0
