Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,4.92,5.01,4.9,4.98,211500,0.0,0.0
2010-01-05,4.96,5.02,4.96,5.02,178600,0.0,0.0
2010-01-06,5.0,5.02,4.97,4.99,190400,0.0,0.0
2010-01-07,4.95,5.05,4.95,5.05,213500,0.0,0.0
2010-01-08,5.05,5.07,5.01,5.05,253900,0.0,0.0
2010-01-11,5.06,5.07,5.03,5.05,236300,0.0,0.0
2010-01-12,5.05,5.05,4.97,5.0,235300,0.0,0.0
2010-01-13,4.98,5.07,4.98,5.07,229900,0.0,0.0
2010-01-14,5.02,5.09,5.01,5.09,184300,0.0,0.0
2010-01-15,5.06,5.07,4.99,5.02,227600,0.0,0.0
2010-01-19,5.04,5.09,5.04,5.08,235400,0.0,0.0
2010-01-20,5.03,5.05,4.97,5.02,295800,0.0,0.0
2010-01-21,5.03,5.04,4.91,4.91,206600,0.0,0.0
2010-01-22,4.87,4.92,4.81,4.83,205200,0.0,0.0
2010-01-25,4.87,4.87,4.78,4.83,212200,0.0,0.0
2010-01-26,4.82,4.84,4.76,4.76,233200,0.0,0.0
2010-01-27,4.74,4.78,4.72,4.76,357500,0.0,0.0
2010-01-28,4.75,4.76,4.67,4.71,219000,0.0,0.0
2010-01-29,4.72,4.76,4.62,4.64,208700,0.0,0.0
2010-02-01,4.66,4.71,4.66,4.7,188200,0.0,0.0
2010-02-02,4.68,4.75,4.68,4.74,287300,0.0,0.0
2010-02-03,4.71,4.75,4.7,4.73,206800,0.0,0.0
2010-02-04,4.68,4.69,4.56,4.58,699500,0.0,0.0
2010-02-05,4.55,4.58,4.47,4.58,484200,0.0,0.0
2010-02-08,4.53,4.59,4.52,4.55,235600,0.0,0.0
2010-02-09,4.57,4.6,4.53,4.57,249400,0.0,0.0
2010-02-10,4.53,4.6,4.52,4.58,251900,0.0,0.0
2010-02-11,4.56,4.67,4.54,4.67,159800,0.0,0.0
2010-02-12,4.63,4.69,4.58,4.69,191200,0.0,0.0
2010-02-16,4.76,4.79,4.68,4.79,253500,0.0,0.0
2010-02-17,4.81,4.86,4.81,4.84,225900,0.0,0.0
2010-02-18,4.81,4.89,4.81,4.89,315600,0.0,0.0
2010-02-19,4.87,4.92,4.85,4.9,157800,0.0,0.0
2010-02-22,4.92,4.93,4.9,4.92,187300,0.0,0.0
2010-02-23,4.91,4.92,4.86,4.9,258700,0.0,0.0
2010-02-24,4.87,4.92,4.86,4.92,202800,0.0,0.0
2010-02-25,4.86,4.92,4.84,4.9,157700,0.0,0.0
2010-02-26,4.88,4.93,4.88,4.91,185200,0.0,0.0
2010-03-01,4.9,5.02,4.9,5.02,303600,0.0,0.0
2010-03-02,5.01,5.07,5.0,5.04,193100,0.0,0.0
2010-03-03,5.04,5.11,5.04,5.08,259800,0.0,0.0
2010-03-04,5.07,5.11,5.07,5.11,129100,0.0,0.0
2010-03-05,5.12,5.22,5.11,5.22,266900,0.0,0.0
2010-03-08,5.22,5.27,5.22,5.24,289100,0.0,0.0
2010-03-09,5.14,5.28,5.14,5.25,260800,0.0,0.0
2010-03-10,5.25,5.31,5.25,5.31,282900,0.0,0.0
2010-03-11,5.28,5.31,5.24,5.3,197500,0.0,0.0
2010-03-12,5.31,5.32,5.29,5.32,172800,0.0,0.0
2010-03-15,5.32,5.32,5.25,5.31,159400,0.0,0.0
2010-03-16,5.32,5.36,5.3,5.35,215700,0.0,0.0
2010-03-17,5.37,5.44,5.37,5.41,174100,0.0,0.0
2010-03-18,5.42,5.43,5.4,5.4,215600,0.0,0.0
2010-03-19,5.33,5.41,5.31,5.33,183800,0.0,0.0
2010-03-22,5.3,5.37,5.29,5.37,189900,0.0,0.0
2010-03-23,5.36,5.42,5.35,5.42,114300,0.0,0.0
2010-03-24,5.41,5.41,5.38,5.38,141800,0.0,0.0
2010-03-25,5.39,5.42,5.32,5.32,241200,0.0,0.0
2010-03-26,5.33,5.37,5.3,5.34,177800,0.0,0.0
2010-03-29,5.35,5.4,5.34,5.37,283300,0.0,0.0
2010-03-30,5.37,5.41,5.35,5.38,186000,0.0,0.0
2010-03-31,5.36,5.41,5.35,5.37,190500,0.0,0.0
2010-04-01,5.39,5.45,5.39,5.43,336300,0.0,0.0
2010-04-05,5.45,5.52,5.44,5.51,276500,0.0,0.0
2010-04-06,5.49,5.58,5.49,5.57,169800,0.0,0.0
2010-04-07,5.55,5.58,5.53,5.55,205200,0.0,0.0
2010-04-08,5.52,5.56,5.49,5.56,181100,0.0,0.0
2010-04-09,5.56,5.61,5.54,5.61,138600,0.0,0.0
2010-04-12,5.61,5.66,5.61,5.64,300000,0.0,0.0
2010-04-13,5.63,5.66,5.61,5.66,158600,0.0,0.0
2010-04-14,5.67,5.78,5.67,5.78,326000,0.0,0.0
2010-04-15,5.74,5.8,5.73,5.78,217900,0.0,0.0
2010-04-16,5.75,5.78,5.67,5.72,325500,0.0,0.0
2010-04-19,5.7,5.74,5.62,5.7,220700,0.0,0.0
2010-04-20,5.73,5.78,5.69,5.76,117700,0.0,0.0
2010-04-21,5.76,5.81,5.75,5.79,150500,0.0,0.0
2010-04-22,5.74,5.86,5.72,5.86,97000,0.0,0.0
2010-04-23,5.86,5.91,5.85,5.9,203600,0.0,0.0
2010-04-26,5.93,5.95,5.87,5.9,227600,0.0,0.0
2010-04-27,5.87,5.9,5.75,5.78,328000,0.0,0.0
2010-04-28,5.76,5.78,5.7,5.75,303300,0.0,0.0
2010-04-29,5.79,5.85,5.75,5.84,320900,0.0,0.0
2010-04-30,5.83,5.84,5.7,5.71,266800,0.0,0.0
2010-05-03,5.73,5.8,5.71,5.79,219500,0.0,0.0
2010-05-04,5.75,5.75,5.6,5.62,381100,0.0,0.0
2010-05-05,5.5,5.58,5.44,5.48,277900,0.0,0.0
2010-05-06,5.39,5.51,4.08,5.2,720800,0.0,0.0
2010-05-07,5.21,5.23,5.02,5.11,328000,0.0,0.0
2010-05-10,5.26,5.42,5.23,5.35,319500,0.0,0.0
2010-05-11,5.31,5.46,5.27,5.38,246100,0.0,0.0
2010-05-12,5.41,5.54,5.39,5.53,280200,0.0,0.0
2010-05-13,5.53,5.56,5.46,5.48,262500,0.0,0.0
2010-05-14,5.39,5.41,5.31,5.34,187000,0.0,0.0
2010-05-17,5.35,5.39,5.19,5.35,390200,0.0,0.0
2010-05-18,5.39,5.42,5.26,5.27,286300,0.0,0.0
2010-05-19,5.22,5.27,5.11,5.17,241200,0.0,0.0
2010-05-20,4.91,5.04,4.86,4.87,469800,0.0,0.0
2010-05-21,4.78,4.98,4.77,4.93,428800,0.0,0.0
